"Actions","کنش‌ها"
"Active","فعال"
"Add New Rule","افزودن قانون جدید"
"Apply","اعمال"
"Apply Rules","اعمال قوانین"
"Attribute Set","مجموعه ویژگی"
"Catalog","فهرست"
"Catalog Price Rule","قانون قیمت کاتالوگ"
"Catalog Price Rules","قوانین قیمت کاتالوگ"
"Category","دسته بندی"
"Conditions","شرایط"
"Conditions Combination","ترکیب شرط‌ها"
"Customer Groups","گروه‌های مشتری"
"Date From","از تاریخ"
"Date To","تا تاریخ"
"Description","توصیف"
"Discount Amount","مبلغ تخفیف"
"Edit Rule","ویرایش قانون"
"Expiration Date","تاريخ انقضا"
"General Information","اطلاعات عمومی"
"ID","شناسه"
"Inactive","غیرفعال"
"New Rule","قانون جدید"
"No","خیر"
"Options","گزينه ها"
"Priority","اولویت"
"Product Attribute","ویژگی محصول"
"Promotions","تبلیغات"
"Rule Information","اطلاعات قانون"
"Rule Name","نام قانون"
"Save and Apply","ذخیره و اعمال"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Start Date","تاریخ شروع"
"Status","وضعيت"
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"Type","نوع"
"Website","وب سایت"
"Websites","وب سایت ها"
"Yes","بله"
