"* Required Fields","* زمينه هاي مورد نياز"
"ALL GROUPS","همه‌ گروه‌ ها"
"Account Information","اطلاعات حساب کاربری"
"Account Sharing Options","گزینه‌ های سهم بندی حساب کاربری"
"Action","اقدام"
"Add New Address","افزودن آدرس جدید"
"Add New Customer","افزودن مشتری جدید"
"Add New Customer Group","افزودن گروه مشتری جدید"
"Additional Address Entries","ورودی های آدرس اضافی"
"Address","آدرس"
"Address Book","دفترچه آدرس"
"Address Information","اطلاعات آدرس"
"Address Templates","قالب های آدرس"
"Addresses","آدرس‌ ها"
"Admin","مدير"
"All","همه"
"All Store Views","همه‌ی نماهای فروشگاه"
"All countries","همه‌ کشورها"
"Always optional.","همیشه اختیاری."
"Amount","مبلغ"
"Approved","تائید شد"
"Are you sure you want to delete this address?","آیا مطمئن هستید که میخواهید این آدرس را حذف کنید؟"
"Are you sure?","شما اطمینان دارید؟"
"Assign a Customer Group","اختصاص یک گروه مشتری"
"Average Sale","میانگین فروش"
"Back","بازگشت"
"Bad request.","درخواست بد."
"By Email","توسط ایمیل"
"By IP","توسط آی پی"
"By IP and Email","توسط آی پی و ایمیل"
"Cancel","لغو"
"Change Billing Address","تغییر آدرس صورتحساب"
"Change Password","تغییر کلمه عبور"
"Change Shipping Address","تغییر آدرس ارسال"
"City","شهر"
"Company","شركت"
"Configure","پیکربندی"
"Confirm New Password","تأیید کلمه عبور جدید"
"Confirm Password","تأیید کلمه عبور"
"Confirmation Link Email","ایمیل لینک تأییدیه"
"Confirmed","تأیید شده"
"Contact Information","اطلاعات تماس"
"Continue Shopping","ادامه خرید"
"Country","كشور"
"Create","ایجاد"
"Create New Account Options","گزینه‌ های ایجاد حساب کاربری جدید"
"Create Order","ایجاد سفارش"
"Create an Account","ایجاد حساب کاربری"
"Current Password","کلمه عبور فعلی"
"Customer","مشتری"
"Customer Configuration","تنظیمات مشتری"
"Customer Group","گروه مشتری"
"Customer Groups","گروه‌های مشتری"
"Customer Information","اطلاعات مشتری"
"Customer Since","مشتری از زمان"
"Customer View","نمای مشتری"
"Customer will stay on the current page if ""No"" is selected.","اگر ""خیر"" انتخاب شود، مشتری در صفحه‌ جاری خواهد ماند."
"Customers","مشتریان"
"Customers Section","بخش مشتریان"
"Date","تاریخ"
"Date Added","تاریخ اضافه شدن"
"Date of Birth","تاریخ تولد"
"Day","روز"
"Default Addresses","آدرس‌ های پیش فرض"
"Default Billing Address","آدرس صورتحساب پیش فرض"
"Default Group","گروه پیش فرض"
"Default Shipping Address","آدرس ارسال پیش فرض"
"Default Value for Disable Automatic Group Changes Based on VAT ID","مقدار پیش فرض برای غیرفعال کردن خودکار تغییرات گروه بر اساس مالیات بر ارزش افزوده شناسه"
"Default Welcome Email","ایمیل خوش‌ آمد گویی پیش فرض"
"Delete","حذف"
"Delete Customer","حذف مشتری"
"Delete Customer Group","حذف گروه مشتری"
"Deleted Stores","فروشگاه‌ های حذف شده"
"Details","جزئیات"
"Disabled","غير فعال"
"Edit","ويرايش"
"Edit Account Information","ویرایش اطلاعات حساب"
"Edit Address","ویرایش آدرس"
"Edit Customer Groups","ویرایش گروه‌ های مشتری"
"Edit Group","ویرایش گروه"
"Email","ايميل"
"Email Address","آدرس ايمميل"
"Email Sender","فرستنده‌ی ایمیل"
"Email:","ایمیل:"
"Enable Automatic Assignment to Customer Group","فعالسازی انتساب اتوماتيك به گروه مشتری"
"Excel XML","اکسل XML"
"Fax","فكس"
"First Name","نام"
"Forgot Email Template","قالب ایمیل فراموش شده"
"Forgot Password","فراموشی کلمه عبور"
"Forgot Your Password?","کلمه عبور خود را فراموش کرده اید؟"
"Gender","جنسیت"
"General Subscription","عضویت عمومی"
"Generate Human-Friendly Customer ID","تولید شناسه‌ مشتری انسان پسند"
"Global","سراسری"
"Group","گروه"
"Group Information","اطلاعات گروه"
"Group Name","نام گروه"
"Group for Invalid VAT ID","گروه برای شناسه مالياتی معتبر"
"Group for Valid VAT ID - Domestic","گروه برای شناسه مالياتی معتبر - داخلی"
"Group for Valid VAT ID - Intra-Union","گروه برای شناسه مالياتی معتبر - داخل صنفی"
"Guest","مهمان"
"ID","شناسه"
"IP Address","آدرس IP"
"Invalid login or password.","ورود به سیستم و یا کلمه عبور نامعتبر است."
"Last Activity","آخرین فعالیت"
"Last Date Subscribed","آخرین تاریخ عضویت"
"Last Date Unsubscribed","آخرین تاریخ لغو عضویت"
"Last Name","نام خانوادگی"
"Leave empty for default (15 minutes).","برای پیش فرض (15 دقیقه) خالی بگذارید."
"Lifetime Sales","تمام فروش‌ ها تاکنون"
"Login","ورود"
"Login Options","گزینه‌ های ورود"
"MM","ماه"
"Manage Addresses","مدیریت آدرس‌ ها"
"Manage Customers","مدیریت مشتریان"
"Month","ماه"
"My Account","حساب کاربری من"
"My Orders","سفارش های من"
"Name","نام"
"Name and Address Options","گزینه‌ های آدرس و نام"
"Never","هرگز"
"New Address","آدرس جدید"
"New Customer","مشتری جدید"
"New Customer Group","گروه مشتری جدید"
"New Customer Groups","گروه‌ های مشتری جدید"
"New Customers","مشتریان جدید"
"New Group","گروه جدید"
"New Password","کلمه عبور جدید"
"Newsletter","خبرنامه"
"Newsletter Information","اطلاعات خبرنامه"
"Newsletter Subscription","اشتراک خبرنامه"
"Newsletters","خبرنامه‌ ها"
"No Items Found","آیتمی یافت نشد"
"No Newsletter Found","خبرنامه‌ ای یافت نشد"
"No item specified.","هیچ محصولی مشخص نشده است."
"Not Sent","ارسال نشد"
"Offline","آفلاین"
"Online","آنلاین"
"Online Customers","مشتریان آنلاین"
"Online Customers Options","گزینه‌ های مشتریان آنلاین"
"Online Minutes Interval","مدت دقایق آنلاین"
"Order #","سفارش #"
"Order Total","مجموع سفارش"
"Orders","سفارشات"
"Password","کلمه عبور"
"Password Options","گزینه‌ های کلمه عبور"
"Password forgotten","کلمه عبور فراموش شده"
"Password:","کلمه عبور:"
"Paused","متوقف شد"
"Pending","انتظار"
"Per Website","در هر وب سایت"
"Personal Information","اطلاعات شخصی"
"Please enter a number 1 or greater in this field.","لطفا در این فیلد عدد 1 یا مقداری بزرگتر وارد نمایید."
"Please enter the city.","لطفا شهر را وارد كنيد."
"Please enter the country.","لطفا كشور را وارد كنيد."
"Please enter the first name.","لطفا نام را وارد کنید."
"Please enter the last name.","طفا نام خانوادگی را وارد کنید."
"Please enter the state/province.","لطفا استان / شهرستان را وارد كنيد."
"Please enter the street.","لطفا خيابان را وارد كنيد."
"Please enter the zip/postal code.","لطفا کد پستی را وارد کنید."
"Please enter your email.","لطفا ایمیل خود را وارد نمایید."
"Please make sure your passwords match.","لطفا مطمئن شوید با کلمات عبور شما مطابقت دارد."
"Please select region, state or province","لطفا منطقه، ایالت یا استان را انتخاب کنید"
"Prefix Dropdown Options","گزینه‌ های کشویی پیشوند"
"Price","قيمت"
"Product","محصول"
"Product ID","شناسه محصول"
"Product Name","نام محصول"
"Product Reviews","نظرات محصول"
"Qty","تعداد"
"Recent Orders","سفارش‌های اخیر"
"Recovery Link Expiration Period (hours)","دوره انقضای لینک بازیابی (براساس ساعت)"
"Redirect Customer to Account Dashboard after Logging in","مشتری را پس از ورود به داشبورد حساب کاربری هدایت کن"
"Refunded","مسترد"
"Registered Customers","مشتریان ثبت نام شده"
"Remind Email Template","قالب ایمیل یادآوری"
"Remove","برداشتن"
"Require Emails Confirmation","در انتظار تأیید ایمیل ها"
"Reset a Password","تنظیم مجدد رمز عبور"
"SKU","کد محصول"
"Sales Statistics","آمار فروش‌ها"
"Save","ذخيره"
"Save Address","ذخیره‌ آدرس"
"Save Customer","ذخیره مشتری"
"Save Customer Group","ذخیره گروه مشتری"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Send From","ارسال از"
"Send confirmation link","ارسال لینک تأیید"
"Sending","در حال ارسال"
"Sent","ارسال شد"
"Share Customer Accounts","تسهیم حساب‌ های کاربری مشتری"
"Shopping Cart","سبد خرید"
"Show Date of Birth","نمایش تاریخ تولد"
"Show Gender","نمایش جنسیت"
"Show Middle Name (initial)","نمایش نام میانی (نخستین)"
"Show Prefix","نمایش پیشوند"
"Show Suffix","نمایش پسوند"
"Show Tax/VAT Number","نمایش شماره مالیات/ مالیات بر ارزش افزوده"
"Sign Up for Newsletter","ثبت نام برای خبرنامه"
"State/Province","استان / شهرستان"
"Status","وضعيت"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Street Address","خیابان"
"Subject","موضوع"
"Submit","ارسال"
"Subscribe to Newsletter","عضویت در خبرنامه"
"Suffix Dropdown Options","گزینه‌ های کشویی پسوند"
"Tax Calculation Based On","محاسبه مالیات بر اساس"
"Tax Class","کلاس مالیاتی"
"Text","متن"
"The VAT ID entered (%s) is not a valid VAT ID.","شناسه ماليات وارد شده (%s) نامعتبر است."
"The VAT ID is valid. The current Customer Group will be used.","شناسه مالياتی معتبر است. گروه مشتری فعلی مورد استفاده قرار خواهد گرفت."
"The customer does not have default billing address.","مشتری آدرس صورتحساب پیش فرض ندارد."
"The suffix that goes after name (Jr., Sr., etc.)","پسوندی که پس از نام قرار می‌گیرد (Jr.، Sr.، و غیره)"
"The title that goes before name (Mr., Mrs., etc.)","عنوانی که پیش از نام قرار می‌گیرد (آقا، خانم، و غیره)"
"This email does not require confirmation.","این ایمیل نیازی به تأییدیه ندارد."
"Total","مجموع"
"Type","نوع"
"Unknown","ناشناس"
"Unsubscribe from Newsletter","لغو عضویت در خبرنامه"
"Update","به روز رسانی"
"Use as my default billing address","استفاده به عنوان آدرس صورتحساب پیش فرض"
"Use as my default shipping address","استفاده به عنوان آدرس ارسال پیش فرض‌"
"VAT Number","شماره مالیات بر ارزش افزوده"
"VAT Request Date","تاريخ درخواست ماليات"
"VAT Request Identifier","شناسه درخواست ماليات"
"Validate VAT Number","تأیید اعتبار شماره ماليات بر ارزش افزوده"
"Validate on Each Transaction","اعتبارسنجی در هر تراکنش"
"Validation Error Group","گروه خطای اعتبار سنجی"
"View","مشاهده"
"View Order","مشاهده‌ی سفارش"
"Visitor","بازدید کننده"
"Website","وب سایت"
