"Base URL","URL مبنا"
"Configuration","پیکربندی"
"Confirm Password","تأیید کلمه عبور"
"Continue","ادامه"
"Database","پایگاه داده"
"Download","دانلود"
"Email","ايميل"
"Email Address","آدرس ايمميل"
"Enable Charts","فعال کردن نمودارها"
"Encryption Key","کلید رمزگذاری"
"File System","سیستم فایل"
"First Name","نام"
"Host","هاست"
"Last Name","نام خانوادگی"
"Locale","بومی سازی"
"Magento","مجنتو"
"Password","کلمه عبور"
"Password Confirmation","تأیید رمز عبور"
"Personal Information","اطلاعات شخصی"
"Report All Bugs","گزارش همه‌ی باگ‌ها"
"Required Fields","فیلدهای الزامی"
"Secure Base URL","URL پایه امن"
"User Name","نام كاربر"
"User Password","رمز عبور کاربر"
"Username","نام کاربری"
