"Actions","کنش‌ها"
"Active","فعال"
"Add New Rule","افزودن قانون جدید"
"Alphabetical","حروف"
"Alphanumeric","عدد و حروف"
"Apply","اعمال"
"Apply To","اعمال برای"
"Apply to Shipping Amount","اعمال برای مبلغ ارسال"
"Are you sure you want to delete the selected coupon(s)?","آيا شما مطمئن هستيد كه مي خواهيد كوپن را حذف كنيد؟"
"Auto","خودکار"
"Auto Generated Specific Coupon Codes","توليد خودكار كد كوپن هاي ويژه"
"Buy X get Y free (discount amount is Y)","خرید X تا دریافت Y تا رایگان (مبلغ تخفیف Y است)"
"By Fixed value","با مقدار ثابت"
"By Percentage","با درصدی"
"Can't acquire coupon.","کوپن را نمی توان دریافت کرد."
"Cart Attribute","ویژگی سبد"
"Catalog","فهرست"
"Code Format","فرمت کد"
"Code Length","طول کد"
"Code Prefix","پیشوند کد"
"Code Suffix","پسوند کد"
"Conditions","شرایط"
"Conditions combination","ترکیب شرط‌ها"
"Coupon","کوپن"
"Coupon Code","کد کوپن"
"Coupon Qty","تعداد كوپن"
"Coupon with the same code","کوپن با کد"
"Created On","ایجاد شده در"
"Customer Groups","گروه‌های مشتری"
"Dash Every X Characters","فاصله هر کاراکتر X"
"Default Label","برچسب پیش فرض"
"Default Rule Label for All Store Views","برچسب قانون پیش فرض برای همه‌ی نماهای فروشگاه"
"Description","توصیف"
"Discount Amount","مبلغ تخفیف"
"Discount Qty Step (Buy X)","مرحله‌ی تعداد تخفیف (خرید X)"
"Edit Rule","ویرایش قانون"
"Excluding prefix, suffix and separators.","به استثنای پیشوند, پسوند و جدا."
"FOUND","ساختن"
"Fixed amount discount","تخفیف مبلغ ثابت"
"Fixed amount discount for whole cart","تخفیف مبلغ ثابت برای کل کارت"
"For matching items only","تنها برای موارد مشابه"
"For shipment with matching items","برای ارسال با موارد مشابه"
"Free Shipping","ارسال رایگان"
"General Information","اطلاعات عمومی"
"Generate","تولید"
"ID","شناسه"
"If empty no separation.","اگر خالی باشد جدا نمی شود."
"Inactive","غیرفعال"
"Labels","برچسب‌ها"
"Manage Coupon Codes","مدیریت کدهای کوپن"
"Maximum Qty Discount is Applied To","بیشینه تخفیف تعداد اعمال شده است برای"
"NOT FOUND","یافت نشد"
"NOT LOGGED IN","وارد نشده اید"
"New Rule","قانون جدید"
"No","خیر"
"No Coupon","بدون کوپن"
"Number of Uses","تعداد استفاده‌ها"
"Numeric","عددی"
"Payment Method","روش پرداخت"
"Percent of product price discount","تخفیف درصد قیمت محصول"
"Period","دوره"
"Price in cart","قیمت در سبد"
"Priority","اولویت"
"Product attribute combination","ترکیب ویژگی محصول"
"Products subselection","زیر انتخاب محصولات"
"Promotions","تبلیغات"
"Public In RSS Feed","عمومی در فید RSS"
"Quantity in cart","تعداد در سبد"
"Row total in cart","جمع سطر در سبد"
"Rule Information","اطلاعات قانون"
"Rule Name","نام قانون"
"Rule is not defined","قانون تعریف نشده است"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Shipping Country","کشور ارسال"
"Shipping Method","روش ارسال"
"Shipping Postcode","کد پستی ارسال"
"Shipping Region","منطقه ارسال"
"Shipping State/Province","شهرستان/استان ارسال"
"Special Price","قیمت ویژه"
"Specific Coupon","کوپن خاص"
"Status","وضعيت"
"Store View Specific Labels","برچسب‌های خاص نمای فروشگاه"
"Subtotal","جمع جز"
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"Times Used","بار استفاده شده است"
"To Fixed Value","به مقدار ثابت"
"To Percentage","به درصدی"
"Total","مجموع"
"Total Amount","مبلغ کل"
"Total Items Quantity","تعداد کل آیتم‌ها"
"Total Weight","مجموع وزن"
"Update the Product","به روز رسانی محصول"
"Use Auto Generation","استفاده از ایجاد خودکار"
"Used","استفاده شده"
"Uses per Coupon","استفاده بر کوپن"
"Uses per Customer","استفاده بر مشتری"
"Website","وب سایت"
"Websites","وب سایت ها"
"Yes","بله"
"total amount","مقدار کل"
"total quantity","مقدار کل""Add Recipient"
