"# of Use","# käyttökertaa"
"%s Item(s)","%s tuote(tta)"
"(Copy data from: %s)","(Kopio data: %s)"
"* Required Fields","* Pakolliset kentät"
"-- Please Select --","--- Valitse ---"
"A group with the same name already exists.","Ryhmä samalla nimellä on jo olemassa."
"A name is required","Vaaditaan nimi"
"ALL GROUPS","KAIKKI RYHMÄT"
"AM","AP"
"Action","Toiminto"
"Actual Price","Todellinen hinta"
"Add","Lisää"
"Add Attribute","Lisää attribuutti"
"Add Design Change","Lisää ulkoasun muutos"
"Add Group","Lisää ryhmä"
"Add New","Lisää uusi"
"Add New Attribute","Lisää uusi attribuutti"
"Add New Attribute Set","Lisää uusi attribuuttiryhmä"
"Add New Group","Lisää uusi ryhmä"
"Add New Images","Lisää uusia kuvia"
"Add New Option","Lisää uusi vaihtoehto"
"Add New Row","Lisää uusi rivi"
"Add New Search Term","Lisää uusi hakutermi"
"Add New Set","Lisää uusi kokonaisuus"
"Add Product","Lisää tuote"
"Add Product To Websites","Lisää tuote sivustoille"
"Add Root Category","Lisää juurikategoria"
"Add Subcategory","Lisää alakategoria"
"Add Tax","Lisää vero"
"Add Tier","Lisää määräalennus"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistaan"
"Additional Information","Lisätiedot"
"All","Kaikki"
"All Product Types","Kaikki tuotetyypit"
"All Websites","Kaikki sivustot"
"All products","Kaikki tuotteet"
"All products - recently added products, New products - products marked as new","Kaikki tuotteet - äskettäin lisätyt tuotteet, Uudet tuotteet - uudeksi merkityt tuotteet"
"Allow All Products per Page","Salli kaikki tuotteet samalla sivulla"
"Allowed File Extensions","Sallitut tiedostopäätteet"
"Allowed file extensions to upload","Sallitut tiedostopäätteet"
"Amount","Summa"
"Apply To","Ota käyttöön"
"Approved","Hyväksytty"
"Are you sure you want to delete this category?","Haluatko varmasti poistaa tämän kategorian?"
"Are you sure you would like to remove all products from your comparison?","Haluatko varmasti poistaa kaikki tuotteet vertailusta?"
"Are you sure you would like to remove this item from the compare products?","Haluatko varmasti poistaa tämän tuotteen tuotevertailusta?"
"Are you sure?","Oletko varma?"
"As low as:","Niinkin matala kuin:"
"Associated Products","Liitännäistuotteet"
"Attrib. Set Name","Ominaisuuskokonaisuuden nimi"
"Attribute Information","Attribuutin tiedot"
"Attribute Model","Ominaisuuden malli"
"Attribute Name:","Ominaisuuden nimi:"
"Attribute Set","Attribuuttiryhmä"
"Attribute Sets","Attribuuttiryhmät"
