"* Required Fields","* Pakolliset kentät"
"Admin","Ylläpito"
"Authorize","Valtuuta"
"Close","Sulje"
"Created At","Luotu"
"Customer","Asiakas"
"Delete","Poista"
"Disable","Poista käytöstä"
"Disabled","Ei käytössä"
"Edit","Muokkaa"
"Email","Sähköposti"
"Email Address","Sähköpostiosoite"
"Enable","Käytä"
"Enabled","Käytössä"
"ID","Tunnus"
"Key","Avain"
"Log In","Kirjaudu sisään"
"Login","Kirjaudu"
"Name","Nimi"
"Password","Salasana"
"Permissions","Oikeudet"
"Role Name","Roolin nimi"
"Save","Tallenna"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Status","Tila"
"System","Järjestelmä"
"User ID","Käyttäjätunnus"
"User Name","Käyttäjänimi"
