"Are you sure you want to delete the selected backup(s)?","Êtes-vous sûr(e) de vouloir effacer les sauvegardes sélectionnées ?"
"Backups","Sauvegardes"
"Create Backup","Créer une sauvegarde"
"Database","Base de données"
"Database Backup","Sauvegarde de base de données"
"Database and Media","Base de données et media"
"Database and Media Backup","Sauvegarde de base de données et media"
"Download","Télécharger"
"Enable Scheduled Backup","Activer la sauvegarde programmée"
"Frequency","Fréquence"
"Maintenance Mode","Mode de maintenance"
"Name","Nom"
"Rollback","Retour arrière (rollback)"
"Start Time","Heure de début"
"System","Système"
"System (excluding Media)","Système (hors media)"
"System Backup","Sauvegarde système"
"Time","Heure"
"Type","Type "
