"%s and greater","%s et plus"
"Advanced Search","Recherche avancée"
"All","Tous"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Catalog Search","Recherche catalogue"
"Don't see what you're looking for?","Vous ne trouvez pas ce que vous cherchez ?"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Home","Accueil"
"List","Liste"
"Maximum Query Length","Longueur maxi de requête"
"Minimal Query Length","Longueur mini de requête"
"Modify your search","Modifier votre recherche"
"No","Non"
"Popular Search Terms","Termes de recherche populaires"
"Rebuild Catalog product fulltext search index","Reconstruire l'index de recherche sur le texte complet du catalogue produit"
"Relevance","Pertinence"
"Results","Résultats"
"Search","Chercher"
"Search Settings","Paramètres de recherche"
"Search Terms","Termes de recherche"
"Search entire store here...","Rechercher dans tout le magasin..."
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search results for: '%s'","Résultats de recherche pour : '%s'"
"Subscribe to Feed","S'abonner au flux"
"There are no search terms available.","Aucun terme de recherche disponible."
"Yes","Oui"
"Your search returns no results.","Aucun résultat pour votre recherche."
"up to %s","jusqu'à %s"
