"* Select shipping method","* Sélectionnez le mode de livraison"
"2Day","2 jours"
"AVS Status: %s","Statut du système de vérification d'adresse (AVS)"
"Allowed Methods","Modes de livraison autorisés"
"Amount: %s","Montant: %s"
"Auto-generated from GoogleCheckout Charge","Généré automatiquement depuis la facturation GoogleCheckout"
"CC Partial: xxxx-%s","Carte de crédit (partiel): xxxx-%s"
"CID Status: %s","Statut CID: %s"
"Cart Discount","Remise panier"
"Checkout Image Style","Style d'image du règlement"
"Continue Shopping URL","URL de continuation d'achats"
"Debug","Déboguage"
"Default price:","Prix par défaut:"
"Enable","Activer"
"Expiration: %s","Expiration : %s"
"Express Mail","Courrier Express"
"Express Saver","Express économe"
"Financial: %s -> %s","Financier: %s -> %s"
"First Overnight","Lendemain"
"Free Shipping","Livraison gratuite"
"Fulfillment: %s -> %s","Accomplissement: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autorisation Google:"
"Google Charge:","Tarif Google:"
"Google Checkout","Règlement Google"
"Google Checkout Shipping - Carrier Calculated","Livraison Google Checkout - Calculé par transporteur"
"Google Checkout Shipping - Flat Rate","Livraison Google Checkout - Tarif unique"
"Google Checkout Shipping - Merchant Calculated","Livraison Google Checkout - Calculé par le marchand"
"Google Checkout: %s","Google Checkout : %s"
"Google Order Number: %s","Numéro de commande Google: %s"
"Google Refund:","Remboursement Google:"
"Google Risk Information:","Informations Google à propos des risques:"
"Ground","Sol"
"Home Delivery","Livraison à domicile"
"IP Address: %s","Adresse IP: %s"
"Inches","Pouces"
"Latest Charge: %s","Dernier frais facturé: %s"
"Latest Refund: %s","Dernier remboursement: %s"
"Location","Lieu"
"Media Mail","Courrier media"
"Merchant ID","Identifiant marchand"
"Merchant Key","Clé de marchand"
"Method","Méthode"
"New Order Status","Statut d'une nouvelle commande"
"No","Non"
"Optional, leave empty for home page.","Facultatif, laisser vide pour la page d'accueil"
"Parcel Post","Colis postal"
"Priority Mail","Courrier prioritaire"
"Priority Overnight","Lendemain (prioritaire)"
"Sandbox","Bac à sable (sandbox)"
"Title","Titre"
"Total Charged: %s","Total facturé: %s"
"Total Refunded: %s","Total remboursé: %s"
"Yes","Oui"
