"* Required Fields","* Champs obligatoires"
"Admin","Administration"
"Authorize","Autoriser"
"Callback URL","URL de rappel"
"Cleanup Probability","Probabilité de nettoyage"
"Cleanup Settings","Paramètres de nettoyage"
"Close","Fermer"
"Created At","Créé à"
"Customer","Client"
"Delete","Supprimer"
"Disable","Désactiver"
"Disabled","Désactivé"
"Edit","Éditer"
"Email","Courriel"
"Email Address","Adresse mail"
"Enable","Activer"
"Enabled","Activé"
"Expiration Period","Période d'expiration"
"ID","Identifiant"
"Invalid Callback URL","URL de rappel invalide"
"Invalid Rejected Callback URL","URL de rappel rejeté invalide"
"Key","Clé"
"Log In","Connexion"
"Login","Connexion"
"Name","Nom"
"Password","Mot de passe"
"Role Name","Nom du rôle"
"Save","Sauvegarder"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Status","Statut"
"System","Système"
"User ID","ID utilisateur"
"User Name","Nom d'utilisateur"
"deleted","supprimé"
