"Abandoned Carts","Paniers abandonnés"
"Abandoned carts","Paniers abandonnés"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'achats"
"Any","Tous"
"Applied Coupon","Coupons utilisés"
"Are you sure?","Êtes-vous sûr(e) ?"
"Bestsellers","Meilleures ventes"
"Bought from wishlists","Acheté à partir de la liste-cadeaux"
"Carts","Paniers"
"Compared Products Grid Template","Modèle de grille des produits comparés"
"Compared Products List Template","Modèle de liste des produits comparés"
"Coupons","Bons de réduction"
"Coupons Usage Report","Rapport des utilisations des bons de réduction"
"Created At","Créé à"
"Current Month Starts","Le mois en cours commence le"
"Customer","Client"
"Customer Name","Nom du client"
"Customer Tags","Libellés client"
"Customers","Clients"
"Customers Report","Rapport clients"
"Customers Reviews","Avis des clients"
"Customers Tags","Clients ayant proposé des libellés"
"Customers by Number of Orders","Clients par nombre de commandes"
"Customers by Orders Total","Clients par montant de commande"
"Customers by number of orders","Clients par nombre de commandes"
"Customers by orders total","Clients par montant de commande"
"Customers that have wishlist: %s%","Clients ayant une liste-caeaux: %s%"
"Dashboard","Tableau de bord"
"Day","Jour"
"Default Recently Compared Products Count","Nombre de produits récemment comparés par défaut"
"Default Recently Viewed Products Count","Nombre de produits récemment consultés par défaut"
"Detail","Détail"
"Downloads","Téléchargements"
"Email","Courriel"
"Empty Rows","Lignes vides"
"Enable Reports","Activer les rapports"
"Excel XML","XML d'Excel"
"Filter","Filtre"
"First Name","Prénom"
"From","Depuis"
"General","Général"
"Guest","Invité"
"Hits","Vues"
"ID","Identifiant"
"IP Address","Adresse IP"
"Invoiced","Facturé"
"Items in Cart","Articles dans le panier"
"Last Name","Nom"
"Last Review","Dernier commentaire"
"Link","Lien"
"List of Products Recently Viewed by Visitor","Liste des derniers produits vus par le visiteur"
"Low Stock","Stock bas"
"Low stock","Stock bas"
"Month","Mois"
"Most Viewed","Les plus consultés"
"Name","Nom"
"New Accounts","Nouveaux comptes"
"No","Non"
"Number Added","Nombre ajouté"
"Number Fulfilled","Nombre réalisés"
"Number Of Reviews","Nombre de commentaires"
"Number Purchased","Nombre acheté"
"Number Viewed","Nombre de vues"
"Number of Items","Nombre d'articles"
"Number of New Accounts","Nombre de nouveaux comptes"
"Number of Products to display","Nombre de produits à afficher"
"Number of Reviews","Nombre de commentaires"
"Number of Total Tags","Nombre de libellés total"
"Number of Unique Tags","Nombre de libellés uniques"
"Number of Views","Nombre de consultations"
"Number of items bought from a wishlist: %s","Nombre d'articles achetés depuis une liste-cadeaux: %s"
"Number of times wishlists have been shared (emailed): %s","Nombre de fois que la liste-cadeaux a été partagée (envoyée par courriel): %s"
"Number of wishlist conversions: %s","Nombre de conversion de listes-cadeaux: %s"
"Number of wishlist referrals: %s","Nombre de référents de la liste-cadeaux: %s"
"Number of wishlists: %s","Nombre de listes-cadeaux: %s"
"Order Status","Statut"
"Order Taxes Report Grouped by Tax Rate","Rapport de taxes groupées par taux de taxe"
"Orders","Commandes"
"Out of stock","Épuisé"
"Period","Période"
"Poducts Report","Rapport produits"
"Popular Tags","Libellés populaires"
"Popularity","Popularité"
"Price","Prix"
"Product Name","Nom de produit"
"Product Reviews","Commentaires"
"Product SKU","SKU produit"
"Product Tags","Libellés du produit"
"Products","Produits"
"Products Ordered","Produits commandés"
"Products Report","Rapport produits"
"Products Reviews","Avis Produits"
"Products Tags","Produits libellés"
"Products in carts","Produits dans des paniers"
"Purchases","Commandes"
"Quantity Ordered","Quantité commandée"
"Quantity of Items","Quantité d'articles"
"Recently Compared","Dernières comparaisons"
"Recently Compared Products","Produits récemment comparés"
"Recently Viewed","Vu récemment"
"Recently Viewed Products","Derniers produits consultés"
"Recently Viewed/Compared Products","Produits récemment consultés/comparés"
"Refresh Lifetime Statistics","Rafraîchir les statistiques depuis le début"
"Refresh Statistics","Actualiser les statistiques"
"Refresh Statistics for the Last Day","Rafraîchir les statistiques pour le dernier jour"
"Refunds","Remboursements"
"Report","Rapport"
"Reports","Rapports"
"Results","Résultats"
"Revenue","Revenu"
"Review","Commentaire"
"Reviews","Commentaires"
"Reviews for %s","Commentaires pour %s"
"Sales","Ventes"
"Sales Report","Rapport des ventes"
"Search Query","Termes de recherche"
"Search Terms","Termes de recherche"
"Select day of the month.","Choisissez le jour du mois."
"Shipping","Livraison"
"Shopping Cart","Panier"
"Shopping Cart Price Rule","Règle de prix panier"
"Show Actual Values","Montrer les valeurs actuelles"
"Show Report","Afficher le rapport"
"Show for Current","Afficher pour le"
"Specified","Spécifié"
"Statistics","Statistiques"
"Stock Qty","Quantité en stock"
"Submitted In","Soumis dans"
"Submitted On","Soumis le"
"Subtotal","Sous-total"
"Tag","Libellé"
"Tag ""%s"" details","Détails du libellé ""%s"""
"Tag Detail","Détail du libellé"
"Tag Name","Nom du libellé"
"Tags submitted to %s","Libellés soumis pour %s"
"Tax","Taxes"
"Title","Titre"
"To","À"
"Total Invoiced vs. Paid Report","Rapport du facturé en fonction du payé"
"Total Ordered Report","Rapport du total commandé"
"Total Refunded Report","Rapport des remboursements"
"Total Shipped Report","Rapport des expéditions"
"Total Tags","Nb total de libellés"
"Total invoiced","Total facturé"
"Total refunded","Total remboursé"
"Updated At","Mise à jour à"
"Viewed Products Grid Template","Modèle de grille des produits visualisés"
"Viewed Products List Template","Modèle de liste des produits visualisés"
"Visible In","Visible dans"
"Wishlist Report","Liste-cadeaux"
"Wishlist vs. Regular Order","Liste-cadeaux vs. Commande normale"
"Wishlists","Liste-cadeaux"
"Year","Année"
"Year-To-Date Starts","L'année en cours commence le"
"Yes","Oui"
"Your Recently Compared","Vos dernières comparaisons"
"Your Recently Viewed","Vos dernières consultations"
