"Add Sitemap","Ajouter un plan du site"
"Always","Toujours"
"CMS Pages Options","Options pour les pages CMS"
"Categories Options","Options pour les catégories"
"Daily","Quotidiennement"
"Edit Sitemap","Éditer le plan de site"
"Enabled","Activé"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Filename","Nom de fichier"
"Frequency","Fréquence"
"Generate","Générer"
"Generation Settings","Paramètres généraux"
"Google Sitemap","Plan de site Google"
"Hourly","Toutes les heures"
"Last Time Generated","Généré pour la dernière fois le"
"Link for Google","Lien pour Google"
"Monthly","Mensuellement"
"Never","Jamais"
"New Sitemap","Nouveau plan de site"
"Path","Chemin"
"Priority","Priorité"
"Products Options","Options pour les produits"
"Sitemap","Plan de site"
"Sitemap generate Warnings","Alertes de génération de plan de site :"
"Start Time","Heure de début"
"Store View","Vue magasin"
"The priority must be between 0 and 1.","La priorité doit être comprise entre 0 et 1."
"This sitemap no longer exists.","Ce plan de site n'existe plus."
"Weekly","Hebdomadairement"
"Yearly","Annuel"
