"--Please Select--","--Sélectionnez s'il vous plaît--"
"API Login ID","ID de connexion de l'API"
"Accepted Currency","Devise acceptée"
"Authorize.net Direct Post","Soumission directe Authorize.net"
"Card Verification Number","Numéro de vérification"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Close","Fermer"
"Credit Card Information","Information de la carte bancaire"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Type","Type de carte de crédit"
"Credit Card Types","Types de cartes de paiement"
"Credit Card Verification","Vérification de carte de paiement"
"Debug","Déboguage"
"Email Customer","Envoyer un email au client"
"Enabled","Activé"
"Expiration Date","Date d'expiration"
"Gateway URL","URL de passerelle"
"Maximum Order Total","Total maximum d'une commande"
"Merchant MD5","MD5 du commerçant"
"Merchant's Email","Email du commerçant"
"Minimum Order Total","Montant minimum total"
"New Order Status","Statut nouvelle commande"
"Order saving error: %s","Erreur lors de la sauvegarde de la commande : %s"
"Payment Action","Action de paiement"
"Payment authorization error.","Erreur d'autorisation de paiement."
"Payment from Applicable Countries","Paiement depuis pays autorisés"
"Payment from Specific Countries","Paiement depuis pays spécifiques"
"Sort Order","Trie commande"
"Test Mode","Mode test"
"There was an error processing your order. Please contact us or try again later.","Erreur lors du traitement de votre commande, veuillez réessayer plus tard."
"Title","Titre"
"Transaction Key","Clé de transaction"
"What is this?","Qu'est-ce que c'est ?"
