"Add Minimum Qty","Ajouter une quantité mini"
"Allow Qty Below 0","Autoriser les quantités négatives"
"Allow Qty Below 0 and Notify Customer","Autoriser les quantités négatives et prévenir le client"
"Automatically Return Credit Memo Item to Stock","Remettre automatiquement en stock un article faisant l'objet d'un avoir"
"Backorders","Commande en rupture de stock"
"By Fixed value","Remise d'une valeur de"
"By Percentage","Remise en pourcentage"
"Catalog Inventory","Inventaire"
"Decrease Stock When Order is Placed","Décrémenter le stock quand la commande est validée"
"Display Out of Stock Products","Afficher les produits épuisés"
"Enable Qty Increments","Activer les incréments de quantités"
"In Stock","En stock"
"Inventory","Inventaire"
"Inventory API","API d'inventaire"
"Inventory Section","Section inventaire"
"Manage Stock","Gérer les stocks"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Minimum Qty","Quantité mini"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"No Backorders","Pas de commandes au delà des stocks"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Only X left Threshold","Seuil pour afficher 'Plus que X produits restant'"
"Out of Stock","Épuisé"
"Product Name","Nom du produit"
"Product Stock Options","Options de stock de produits"
"Products will still be shown by direct product URLs.","Les produits seront quand même affichés par leurs URLs directes."
"Qty","Qté"
"Qty Increments","Incréments de quantités"
"Retrieve stock data","Récupérer les données de stock"
"Retrieve stock data by product ids","Récupérer les données de stock par identifiants de produits"
"Rule price","Règle de prix"
"Set Items' Status to be In Stock When Order is Cancelled","Passer le statut des articles à ""Disponible"" quand une commande est annulée"
"Stock Options","Options de stock"
"Stock Status","État du stock"
"The maximum quantity allowed for purchase is %s.","La quantité maximale autorisée pour la commande est %s."
"The minimum quantity allowed for purchase is %s.","La quantité minimale autorisée pour la commande est %s."
"The requested quantity for ""%s"" is not available.","La quantité demandée pour ""%s"" n'est pas disponible."
"The stock item for Product in option is not valid.","L'article en stock pour cette option du produit n'est pas valide."
"This product is currently out of stock.","Ce produit est actuellement épuisé."
"To Fixed Value","Valeur fixe"
"To Percentage","En fraction"
"Update","Mettre à jour"
"Update product stock data","Mettre à jour les données de stock du produit"
"Update the Product","Mettre à jour le produit"
