"Active","Actif"
"Add Attribute Mapping","Ajouter un mapping d'attribut"
"Add New Attribute","Ajouter un attribut"
"Add to Google Base","Ajouter à Google Base"
"Are you sure?","Êtes-vous sûr(e) ?"
"Attribute","Attribut"
"Attribute Set","Jeu d'attributs"
"Attribute Set and Item Type","Jeu d'attributs et type d'article"
"Attributes","Attributs"
"Attributes Set","Jeu d'attributs"
"Available Products","Produits disponibles"
"Cannot update Google Base Item for Store '%s'","Impossible de mettre à jour l'article Google Base pour le magasin '%s'"
"Captcha confirmation error: %s","Erreur de confirmation de captcha : %s"
"Catalog","Catalogue"
"Clicks","Clics"
"ClientLogin","IdentifantClient"
"Confirm","Confirmer"
"Current Mapping will be reloaded. Continue?","Le mapping en cours sera rechargé. Souhaitez-vous continuer ?"
"Custom attribute, no mapping","Attribut personnalisé, pas de mapping"
"Delete","Supprimer"
"Delete Mapping","Effacer le mapping"
"Edit Item Type","Éditer le type d'article"
"Edit Item Type ""%s""","Éditer le type d'article ""%s"""
"Error: %s","Erreur : %s"
"Expires","Expire"
"Google Base Attribute","Attribut Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Type d'article Google Base"
"Google Base Item type","Type d'article Google Base"
"Google Base Items","Articles Google Base"
"Hide","Masquer"
"Invalid Product Model for Google Base Item","Modèle de produit invalide pour un article Google Base"
"Item Type was deleted","Le type d'article a été effacé"
"Item Types","Types d'article"
"Items","Articles"
"Manage Attribute Mapping","Gérer le mapping d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Items","Gérer les articles"
"New Item Type","Nouveau type d'article"
"No","Non"
"No items were deleted from Google Base","Aucun article n'a été effacé de Google Base"
"No items were published","Aucun article n'a été publié"
"No products were added to Google Base","Aucun produit n'a été ajouté à Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Veuillez sélectionner un jeu d'attributs et un type d'article Google pour charger les attributs"
"Product Name","Nom du produit"
"Publish","Publier"
"Published","Publié"
"Remove","Supprimer"
"Save Mapping","Sauvegarder le mapping"
"Synchronize","Synchroniser"
"Target Country","Pays cible"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Cette action mettra à jour les statistiques des articles et effacera les articles qui ne sont pas disponibles dans Google Base. Souhaitez-vous continuer ?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Impossible de se connecter à Google Base. Veuillez vérifier votre configuration."
"View Available Products","Voir les produits disponibles"
"View Item in Google Base","Voir l'article dans Google Base"
"Yes","Oui"
