" was not delivered nor scanned"," n'a pas été livré ni scanné"
"1 Day Freight","Frêt 1 jour"
"2 Day","2 jours"
"2 Day AM","J+2 matin"
"2 Day Freight","Frêt 2 jours"
"3 Day Freight","Frêt 3 jours"
"Access ID","ID d'accès"
"Access License Number","Numéro de permis d'accès"
"Account ID","ID de compte"
"Account Number","Numéro de compte"
"Additional Protection Configuration Value","Valeur de configuration de protection supplémentaire"
"Additional Protection Enabled","Protection supplémentaire activée"
"Additional Protection Min Subtotal","Sous-total mini de protection supplémentaire"
"Additional Protection Value","Valeur de protection supplémentaire"
"Additional Protection Value Rounding Method","Méthode d'arrondi de valeur de protection supplémentaire"
"Adult","Adulte"
"Adult Signature Required","La signature d'un adulte est requise"
"Allowed Methods","Modes de livraison autorisés"
"Break bulk express","Paquet divisé express"
"Business Service Center","Centre de service d'affaires"
"Calculate Handling Fee","Calculer les frais de dossier"
"Canada Standard","Canada standard"
"Cannot retrieve shipping rates","Impossible de récupérer les taux de livraison"
"Centimeters","Centimètres"
"Container","Conteneur"
"Customer Packaging","Paquet fait par le client"
"Customer Supplied Package","Colis fourni par le client"
"DHL service is not available at %s date","Le service DHL n’est pas disponible à la date %s"
"Debug","Déboguage"
"Default Package Height","Hauteur par défaut du paquet"
"Default Package Length","Longueur par défaut du paquet"
"Default Package Width","Largeur par défaut du paquet"
"Delivered","Livré"
"Delivery Confirmation","Confirmation de livraison"
"Depth","Profondeur"
"Destination Type","Type de destination"
"Development","Développement"
"Direct","Directe"
"Displayed Error Message","Message d'erreur affiché"
"Divide Order Weight","Diviser le poids de la commande"
"Domestic Shipment Days","Jours de livraison à domicile"
"Domestic economy select","Sélection éco domestique"
"Domestic express","Domestique express"
"Drop Box","Boîte de dépôt"
"Dropoff","Déposer"
"Easy shop","Achat facile"
"Economy select","Sélection éco"
"Empty response","Réponse vide"
"Enable Negotiated Rates","Activer les taux négociés"
"Enabled for Checkout","Activé pour commander"
"Error #%s : %s (%s)","Erreur #%s : %s (%s)"
"Error #%s: %s","Erreur #%s : %s"
"Europe First Priority","Prioritaire Europe"
"Express 10:30","Express 10h30"
"Express 12:00","Express 12h00"
"Express 9:00","Express 9h00"
"Express Saturday","Samedi Express"
"Express Saver","Express économe"
"Express easy","Express facile"
"Express envelope","Enveloppe express"
"Express worldwide","Express monde"
"FedEx 10kg Box","Boîte 10kg FedEx"
"FedEx 25kg Box","Boîte 25kg FedEx"
"FedEx Box","Boîte FedEx"
"FedEx Envelope","Enveloppe FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Tube","Tube FedEx"
"First Overnight","Lendemain"
"First-Class Mail Large Envelope","Machinable"
"First-Class Package International Service","Service de colis international de première classe"
"First-Class Package Service","Service de colis de première classe"
"First-Class Package Service - Retail","Service de colis de première classe - Vente au détail"
"First-Class Package Service Hold For Pickup","Service de colis de première classe retenu pour le ramassage"
"Flat","Plat"
"Flat-Rate Box","Boîte taux fixe"
"Flat-Rate Envelope","Enveloppe taux fixe"
"Free Method","Mode gratuit"
"Freight","Fret"
"Freight worldwide","Frêt monde"
"Gateway URL","URL de passerelle"
"Gateway XML URL","URL XML de passerelle"
"Gift","Cadeau"
"Girth","Circonférence"
"Ground","Sol"
"Handling Applied","Frais de dossier appliqués"
"Handling Fee","Frais de traitement"
"Height","Hauteur"
"Home Delivery","Livraison à domicile"
"Hub ID","Identifiant de hub"
"Inches","Pouces"
"Indirect","Indirecte"
"International Economy","International éco"
"International First","Premier international"
"International Ground","Sol international"
"International Priority","Priorité internationale"
"Intl Economy Freight","Frêt éco international"
"Intl Priority Freight","Frêt prioritaire international"
"Key","Clé"
"Kilograms","Kilogrammes"
"Large","Grand"
"Large Express Box","Boite Express large"
"Length","Longueur"
"Letter","Lettre"
"Live","En production"
"Machinable","Mécanisable"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Poids maximal du colis (veuillez consulter votre transporteur)"
"Medical express","Médical express"
"Medium Express Box","Boite Express Medium"
"Merchandise","Marchandises"
"Meter Number","Numéro du compteur"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Poids minimal du colis (veuillez consulter votre transporteur)"
"National Freight","Fret National"
"Next Afternoon","Après-midi suivante"
"No","Non"
"No packages for request","Pas de colis pour la demande"
"Non Documents","Autres que documents"
"Non documents","Autres que documents"
"Non-rectangular","Non rectangulaire"
"None","Aucun"
"Not Required","Non requis"
"Order","Commande"
"Order #%s","Commande #%s"
"Origin of the Shipment","Origine de la livraison"
"Other","Autre"
"Others","Autres"
"Package","Colis"
"Package Description","Description du paquet"
"Packages Request Type","Type de demande de colis"
"Packaging","Emballage"
"Pallet","Pallettes"
"Parcel","Colis"
"Password","Mot de passe"
"Pickup Method","Retrait"
"Please make sure to use only digits here. No dashes are allowed.","Veuillez utiliser uniquement des chiffres. Les tirets ne sont pas acceptés."
"Pounds","Livres"
"Priority Mail","Courrier prioritaire"
"Priority Overnight","Lendemain (prioritaire)"
"Receiver","Destinataire"
"Rectangular","Rectangulaire"
"Regular","Régulier"
"Regular Pickup","Ramassage régulier"
"Request Courier","Demander un coursier"
"Required","Obligatoire"
"Response is in the wrong format","La réponse n'est pas dans le bon format"
"Return","Retour"
"Round","Arrondi"
"Same day","Même jour"
"Sample","Exemple"
"Sandbox Mode","Mode Sandbox"
"Second Day Service","Service deuxième jour"
"Secure Gateway URL","URL sécurisée de la passerelle"
"Sender","Expéditeur"
"Service type does not match","Le type de service ne correspond pas"
"Ship to Applicable Countries","Livrer aux pays applicables"
"Ship to Specific Countries","Livrer aux pays spécifiques"
"Shipment Contains Hazardous Materials","La livraison comprend des produits dangereux"
"Shipment Dutiable","Livraison taxable"
"Shipment Duty Payment Type","Type de paiement de taxe de livraison"
"Shipment is not available.","La livraison n'est pas disponible."
"Shipment picked up","Colis récupéré"
"Shipper Number","Numéro du livreur"
"Show Method if Not Applicable","Afficher le mode s'il n'est pas applicable"
"Signature Required","Signature obligatoire"
"Size","Taille"
"Small Express Box","Boite Express petite"
"Sort Order","Trie commande"
"Specific","Spécifique"
"Station","Gare"
"Subtotal","Sous-total"
"Subtotal With Discount","Sous-total avec remise"
"The field is applicable if the Smart Post method is selected.","Le champ est applicable si le mode Smart Post est choisi."
"The response is in wrong format.","La réponse n'est pas dans le bon format."
"There is no available method for selected shipping address.","Il n'y a pas de mode disponible pour l'adresse de livraison choisie."
"There is no items in this order","Il n'y a pas d'article dans cette commande"
"Third Party","Tiers"
"Title","Titre"
"Tracking XML URL","URL XML de suivi"
"UPS Type","Type UPS"
"Unable to retrieve tracking","Impossible de récupérer les informations de suivi"
"United Parcel Service XML","XML UPS"
"Unknown error","Erreur inconnue"
"User ID","ID utilisateur"
"Weight Unit","Unité de poids"
"Width","Largeur"
"Yes","Oui"
"Your Packaging","Votre paquet"
"inch","pouce"
