"API Login ID","API do ID de usuario"
"Authorize Only","Autorizar só"
"Authorize and Capture","Autorizar e capturar"
"Cancel","Cancelar"
"Credit Card Types","Tipos de tarxeta de crédito"
"Credit Card Verification","Verificación de tarxeta de crédito"
"Debug","Depuración"
"Enabled","Activado"
"Invalid amount for authorization.","O importe non é válido para a autorización."
"Maximum Order Total","Total de pedido máximo"
"Minimum Order Total","Total de pedido mínimo"
"Payment Action","Acción de pagamento"
"Payment authorization error.","Erro na autorización de pagamento."
"Sort Order","Orde de clasificación"
"Title","Título"
