"Abandoned carts","Carriños abandonados"
"Action","Acción"
"Add to Cart","Engadir ao carriño"
"Add to Compare","Engadir para comparar"
"Add to Wishlist","Engadir á lista de desexos"
"Any","Calquera"
"Applied Coupon","Cupón aplicado"
"Are you sure?","Está vostede seguro?"
"Bestsellers","Máis vendidos"
"Bought from wishlists","Comprado desde a lista de desexos"
"Carts","Carriños"
"Coupons","Cupóns"
"Created At","Creado en"
"Customer","Cliente"
"Customer Name","Nome do cliente"
"Customer Tags","Etiquetas do cliente"
"Customers","Clientes"
"Customers Report","Informe de clientes"
"Customers Reviews","Valoracións dos clientes"
"Customers Tags","Etiquetas dos clientes"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que teñen lista de desexos: %s%"
"Dashboard","Panel"
"Day","Día"
"Description","Descrición"
"Detail","Detalle"
"Downloads","Descargas"
"Email","Correo electrónico"
"First Name","Nome"
"From","De"
"General","Xeral"
"Guest","Convidado"
"Hits","Visitas"
"IP Address","Enderezo IP"
"Invoiced","Facturado"
"Items in Cart","Elementos no carriño"
"Last Name","Apelido"
"Last Review","Última revisión"
"Link","Ligazón"
"Low stock","Dispoñibilidade baixa"
"Month","Mes"
"Most Viewed","Máis visitados"
"Name","Nome"
"New Accounts","Novas contas"
"No","Non"
"Number Added","Número engadido"
"Number Fulfilled","Número cuberto"
"Number Of Reviews","Número de valoracións"
"Number Purchased","Número de compra"
"Number Viewed","Número visto"
"Number of Items","Número de elementos"
"Number of New Accounts","Número de contas novas"
"Number of Reviews","Número de valoracións"
"Number of Total Tags","Número total de etiquetas"
"Number of Unique Tags","Número de etiquetas únicas"
"Number of Views","Número de visualizacións"
"Number of items bought from a wishlist: %s","Número de elementos comprados desde a lista de desexos: %s"
"Number of times wishlists have been shared (emailed): %s","Número de veces que se compartiu a lista de desexos (correo electrónico): %s"
"Number of wishlist conversions: %s","Número de conversións da lista de desexos: %s"
"Number of wishlist referrals: %s","Número de referencias da lista de desexos: %s"
"Number of wishlists: %s","Número de listas de desexos: %s"
"Order Status","Estado de pedido"
"Orders","Pedidos"
"Out of stock","Esgotado"
"Period","Período"
"Poducts Report","Informe de produtos"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidade"
"Price","Prezo"
"Product Name","Nome do produto"
"Product Reviews","Valoracións do produto"
"Product SKU","Sku do produto"
"Product Tags","Etiquetas do produto"
"Products","Produtos"
"Products Report","Informe de produtos"
"Products Reviews","Valoracións dos produtos"
"Products Tags","Etiquetas dos produtos"
"Products in carts","Produtos nos carriños"
"Purchases","Compras"
"Quantity Ordered","Cantidade pedida"
"Quantity of Items","Cantidade de elementos"
"Recently Compared Products","Produtos comparados recentemente"
"Recently Viewed","Vistos recentemente"
"Recently Viewed Products","Produtos vistos recentemente"
"Recently Viewed/Compared Products","Produtos comparados/vistos recentemente"
"Refunds","Reembolsos"
"Reports","Informes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Valoración"
"Reviews","Valoracións"
"Reviews for %s","Valoracións para %s"
"Sales","Vendas"
"Sales Report","Informe de vendas"
"Search Query","Consulta da busca"
"Search Terms","Termos de busca"
"Shipping","Envío"
"Shopping Cart","Carriño da compra"
"Shopping Cart Price Rule","Regra de prezos no carriño de compras"
"Show for Current","Mostrar actual"
"Stock Qty","Cantidade dispoñible"
"Submitted In","Enviado en"
"Submitted On","Enviado en"
"Subtotal","Sub-total"
"Tag","Etiqueta"
"Tag ""%s"" details","Detalles de etiqueta ""%s"""
"Tag Detail","Detalle de etiqueta"
"Tag Name","Nome de etiqueta"
"Tags submitted to %s","Etiquetas enviadas para %s"
"Tax","Impostos"
"Title","Título"
"To","A"
"Total Tags","Total de etiquetas"
"Total invoiced","Total facturado"
"Total refunded","Total reembolsado"
"Updated At","Actualizado en"
"Visible In","Visible en"
"Wishlist Report","Informe da lista de desexos"
"Wishlist vs. Regular Order","Lista de desexos fronte a pedido regular"
"Wishlists","Listas de desexos"
"Year","Ano"
"Yes","Si"
"Your Recently Compared","As súas comparacións recentes"
"Your Recently Viewed","As súas visualizacións recentes"
