"-- Please Select --","-- Por favor, seleccione --"
"Actions","Accións"
"All","Todos"
"All Product Types","Todos os tipos de produto"
"Apply","Aplicar"
"Big Image","Imaxe grande"
"Categories","Categorías"
"Close","Pechar"
"Continue","Continuar"
"Delete","Eliminar"
"Export to:","Exportar para:"
"Frontend Properties","Propiedades do frontend"
"Images","Imaxes"
"Next page","Páxina seguinte"
"Open Chooser","Abrir selector"
"Page","Páxina"
"Previous page","Páxina anterior"
"Products","Produtos"
"Select All","Seleccionar todo"
"Select Visible","Seleccionar visible"
"Settings","Opcións"
"Sort Order","Orde de clasificación"
"Template","Modelo"
"The information in this tab has been changed.","Modificouse a información neste separador."
"This tab contains invalid data. Please solve the problem before saving.","Este separador contén datos non válidos. Por favor, resolva o problema antes de gardar."
"Thumbnail","Miniatura"
"Total %d records found","Atopáronse %d rexistros"
"Type","Tipo"
"Unselect All","Anular a selección de todo"
"Unselect Visible","Anular a selección de visible"
"View","Ver"
"items selected","Elementos seleccionados"
"of %s pages","de %s páxinas"
"per page","por páxina"
