"* Required Fields","* જરૂરી માહિતી"
"Add New Option","નવો વિકલ્પ ઉમેરો"
"As low as","જેટલું ઓછું"
"Click for price","ભાવ માટે ક્લિક કરો"
"Close","બંધ"
"Default","ડિફૉલ્ટ"
"Excl. Tax","કર બાકાત કરીને"
"Fixed","સ્થિર"
"From","થી"
"From:","પ્રતિ:"
"Gift Message","ભેટ સંદેશ"
"Incl. Tax","શામેલ કર"
"Input Type","ઇનપુટ પ્રકાર"
"Message:","સંદેશ"
"Multiple Select","મલ્ટીપલ સિલેક્ટ"
"N/A","એન / એ"
"None","કંઈ નહીં"
"Percent","ટકા"
"Please enter a number greater 0 in this field.","કૃપા કરીને આ ક્ષેત્રમાં વધુ 0 દાખલ કરો."
"Position","સ્થિતિ"
"Price Type","ભાવનો પ્રકાર"
"SKU","એસકેયુ"
"Shipment","શિપમેન્ટ"
"To","થી"
"To:","ને:"
"Use Default Value","ડિફaultલ્ટ મૂલ્યનો ઉપયોગ કરો"
"save","સાચવો"
