"* Required Fields","* જરૂરી માહિતી"
"-- Please Select --","
                    -- મહેરબાની કરી, પસંદ કરો --
                "
"A group with the same name already exists.","સમાન નામનો જૂથ પહેલેથી જ અસ્તિત્વમાં છે."
"A product type is not defined for the indexer.","ઉત્પાદનનો પ્રકાર સૂચક માટે નિર્ધારિત નથી."
"ALL GROUPS","બધા ગ્રુપ્સ"
"AM","એ.એમ."
"Action","ક્રિયા"
"Add","ઉમેરો"
"Add Attribute","એટ્રિબ્યુટ ઉમેરો"
"Add Design Change","
                    ડિઝાઇન બદલો ઉમેરો
                "
"Add Group","જૂથ ઉમેરો"
"Add New","નવો ઉમેરો"
"Add New Attribute","નવું એટ્રિબ્યુટ ઉમેરો"
"Add New Attribute Set","નવું એટ્રિબ્યુટ સેટ ઉમેરો"
"Add New Group","નવું જૂથ ઉમેરો"
"Add New Images","નવી છબીઓ ઉમેરો"
"Add New Option","નવો વિકલ્પ ઉમેરો"
"Add New Row","નવી પંક્તિ ઉમેરો"
"Add New Search Term","નવી શોધ શબ્દ ઉમેરો"
"Add Product","ઉત્પાદન ઉમેરો"
"Add Product To Websites","વેબસાઇટ્સ પર ઉત્પાદન ઉમેરો"
"Add Root Category","રુટ કેટેગરી ઉમેરો"
"Add Subcategory","ઉપકેટેગરી ઉમેરો"
"Add to Cart","સૂચી માં સામેલ કરો"
"Add to Compare","સરખામણી કરો"
"Add to Wishlist","ઈચ્છા ની યાદ I માં ઉમેરવું"
"All","બધા"
"All Websites","બધી વેબસાઇટ્સ"
"All products","બધા ઉત્પાદનો"
"All products - recently added products, New products - products marked as new","બધા ઉત્પાદનો - તાજેતરમાં ઉમેરવામાં આવેલા ઉત્પાદનો, નવા ઉત્પાદનો - ઉત્પાદનોને નવા તરીકે ચિહ્નિત કર્યા છે"
"Allow All Products per Page","પૃષ્ઠ દીઠ બધા ઉત્પાદનોને મંજૂરી આપો"
"Amount","રકમ"
"Anchor Custom Text","એન્કર કસ્ટમ ટેક્સ્ટ"
"Anchor Custom Title","એન્કર કસ્ટમ શીર્ષક"
"Are you sure you want to delete this category?","શું તમે ખરેખર આ કેટેગરીને કા deleteી નાખવા માંગો છો?"
"Are you sure?","શું તમે ખાતરી કરો છો?"
"Attribute Information","લક્ષણ માહિતી"
"Attribute Set","એટ્રિબ્યુટ સેટ"
"Attribute Sets","એટ્રિબ્યુટ સમૂહો"
"Attributes","લક્ષણો"
"Back","પાછું"
"Backorders","બેકordersર્ડર્સ"
"Based On","પર આધારિત"
"Block after Info Column","માહિતી કumnલમ પછી અવરોધિત કરો"
"Bottom/Left","નીચે / ડાબે"
"Bottom/Right","નીચે જમણું"
"Cache Lifetime (Seconds)","કેશ લાઇફટાઇમ (સેકંડ)"
"Cancel","રદ કરો"
"Catalog","કેટલોગ"
"Catalog Category Link","કેટલોગ કેટેગરી લિંક"
"Catalog New Products List","કેટલોગ નવા ઉત્પાદનોની સૂચિ"
"Catalog Price Scope","કેટલોગ ભાવ અવકાશ"
"Catalog Product Link","કેટલોગ ઉત્પાદન લિંક"
"Catalog Section","કેટલોગ વિભાગ"
"Catalog, Search","કેટલોગ, શોધ"
"Categories","શ્રેણીઓ"
"Category","કેટેગરી"
"Category Flat Data","વર્ગ ફ્લેટ ડેટા"
"Category Link Block Template","કેટેગરી લિંક બ્લોક Templateાંચો"
"Category Link Inline Template","કેટેગરી લિંક ઇનલાઇન Templateાંચો"
"Category Products","વર્ગ ઉત્પાદનો"
"Category Top Navigation","કેટેગરી ટોચની નેવિગેશન"
"Center","કેન્દ્ર"
"Change","બદલો"
"Change status","સ્થિતિ બદલો"
"Check items to add to the cart or","કાર્ટમાં ઉમેરવા માટે વસ્તુઓ તપાસો અથવા"
"Clear All","બધું સાફ કરો"
"Clear Price","સ્પષ્ટ કિંમત"
"Click for price","ભાવ માટે ક્લિક કરો"
"Close Window","બારી બંધ કરો"
"Collapse All","બધા સંકુચિત કરો"
"Comma-separated.","અલ્પવિરામથી છૂટા."
"Comparable","તુલનાત્મક"
"Compare","તુલના"
"Compare Products","ઉત્પાદનોની તુલના કરો"
"Configure Product","ઉત્પાદનને ગોઠવો"
"Continue","ચાલુ રાખો"
"Create","બનાવો"
"Cross-sells","ક્રોસ વેચે છે"
"Custom Design","
                    કસ્ટમ ડિઝાઇન
                "
"Custom Options","કસ્ટમ વિકલ્પો"
"Customer Group","ગ્રાહક જૂથ"
"Data Type for Saving in Database","ડેટાબેસમાં સાચવવા માટે ડેટા પ્રકાર"
"Date & Time Custom Options","તારીખ અને સમય કસ્ટમ વિકલ્પો"
"Date Fields Order","તારીખ ક્ષેત્રોનો ઓર્ડર"
"Datetime","તારીખ સમય"
"Decimal","દશાંશ"
"Default Price","ડિફોલ્ટ ભાવ"
"Default Values","ડિફaultલ્ટ મૂલ્યો"
"Delete","
                    કાઢી નાખો
                "
"Delete Attribute","એટ્રીબ્યુટ કા Deleteી નાખો"
"Delete Row","પંક્તિ કાી નાખો"
"Delete Selected Group","પસંદ કરેલું જૂથ કા Deleteી નાખો"
"Delete Tier","ટાયર કા Deleteી નાખો"
"Description","વર્ણન"
"Design","ડિઝાઇન"
"Details","વિગતો"
"Disabled","
                    અક્ષમ
                "
"Display Page Control","પૃષ્ઠ નિયંત્રણ દર્શાવો"
"Display Type","પ્રદર્શન પ્રકાર"
"Edit","સંપાદિત કરો"
"Edit Product Attribute","ઉત્પાદન લક્ષણ સંપાદિત કરો"
"Email","
                    ઇમેલ
                "
"Email to a Friend","મિત્રને ઇમેઇલ કરો"
"Empty","ખાલી"
"Enable Qty Increments","Qty વધારો સક્ષમ કરો"
"Enabled","સક્ષમ"
"Exclude","બાકાત"
"Expand All","બધા વિસ્તૃત કરો"
"First Name","
                    પ્રથમ નામ (તમારું નામ)
                "
"Fixed","સ્થિર"
"Gallery","ગેલેરી"
"General Information","સામાન્ય માહિતી"
"Global","વૈશ્વિક"
"Globally Editable","વૈશ્વિક સ્તરે સંપાદનયોગ્ય"
"Go to Home Page","હોમ પેજ પર જાઓ"
"Grid","ગ્રીડ"
"Groups","જૂથો"
"Home","
                    હોમ
                "
"ID","આઇડી"
"Image","છબી"
"In Stock","ઉપલબ્ધ છે"
"In stock","ઉપલબ્ધ છે"
"Incl. Tax","શામેલ કર"
"Index product prices","અનુક્રમણિકાના ભાવ"
"Indexed category/products association","અનુક્રમણિકા વર્ગ / ઉત્પાદનો મંડળ"
"Input Type","ઇનપુટ પ્રકાર"
"Integer","પૂર્ણાંક"
"Inventory","ઈન્વેન્ટરી"
"Is Default","ડિફોલ્ટ છે"
"Label","લેબલ"
"Last Name","
                    અટક
                "
"Learn More","વધુ શીખો"
"Link to a Specified Category","એક સ્પષ્ટ કેટેગરી સાથે લિંક"
"Link to a Specified Product","કોઈ ઉલ્લેખિત ઉત્પાદનની લિંક"
"List","યાદી"
"List Mode","સૂચિ મોડ"
"List of Products that are set as New","નવા તરીકે સેટ કરેલા ઉત્પાદનોની સૂચિ"
"Manage Attribute Sets","એટ્રિબ્યુટ સેટ મેનેજ કરો"
"Manage Catalog Categories","કેટલોગ કેટેગરીઝનું સંચાલન કરો"
"Manage Categories","શ્રેણીઓ મેનેજ કરો"
"Manage Product Attributes","ઉત્પાદન લક્ષણો મેનેજ કરો"
"Manage Product Sets","પ્રોડક્ટ સેટ્સ મેનેજ કરો"
"Manage Stock","સ્ટોક મેનેજ કરો"
"Manage Titles (Size, Color, etc.)","શીર્ષકો મેનેજ કરો (કદ, રંગ, વગેરે)"
"Max Characters","મહત્તમ અક્ષરો"
"Maximal Depth","મહત્તમ Depંડાઈ"
"Maximum Image Size","મહત્તમ છબીનું કદ"
"Maximum Qty Allowed in Shopping Cart","શોપિંગ કાર્ટમાં મહત્તમ ક્વોટી માન્ય છે"
"Maximum image height","મહત્તમ છબી heightંચાઇ"
"Maximum image width","મહત્તમ છબી પહોળાઈ"
"Maximum number of characters:","અક્ષરોની મહત્તમ સંખ્યા:"
"Media Image","મીડિયા છબી"
"Minimum Qty Allowed in Shopping Cart","શોપિંગ કાર્ટમાં ન્યૂનતમ ક્વોટી માન્ય છે"
"My Account","
                    મારુ ખાતુ
                "
"N/A","એન / એ"
"Name","
                    નામ
                "
"New Product","નવું ઉત્પાદન"
"New Product Attribute","નવું ઉત્પાદન લક્ષણ"
"New Products","નવા ઉત્પાદનો"
"New Products Grid Template","નવા ઉત્પાદનો ગ્રીડ .ાંચો"
"New Products List Template","નવા ઉત્પાદનો યાદી .ાંચો"
"New Set Name","નવું સેટ નામ"
"New products","નવા ઉત્પાદનો"
"Next","આગળ"
"No","ના"
"No layout updates","કોઈ લેઆઉટ અપડેટ્સ નથી"
"None","કંઈ નહીં"
"Not Visible Individually","વ્યક્તિગત રૂપે દૃશ્યમાન નથી"
"Notify Low Stock RSS","લો સ્ટોક આરએસએસને સૂચિત કરો"
"Notify for Quantity Below","નીચે જથ્થા માટે સૂચિત કરો"
"Number of Products per Page","પૃષ્ઠ દીઠ ઉત્પાદનોની સંખ્યા"
"Number of Products to Display","પ્રદર્શિત કરવા માટેના ઉત્પાદનોની સંખ્યા"
"OK","બરાબર"
"Out of Stock","સ્ટોક આઉટ"
"Out of stock","સ્ટોક સમાપ્ત"
"PM","પી.એમ."
"Page Title Separator","પૃષ્ઠ શીર્ષક વિભાજક"
"Parent Category","પિતૃ વર્ગ"
"Pending","બાકી"
"Please add rows to option.","કૃપા કરીને વિકલ્પમાં પંક્તિઓ ઉમેરો."
"Please specify date required option(s).","કૃપા કરીને તારીખ આવશ્યક વિકલ્પ (ઓ) નો ઉલ્લેખ કરો."
"Please specify the quantity of product(s).","કૃપા કરીને ઉત્પાદન જથ્થો (ણો) નો ઉલ્લેખ કરો."
"Please specify time required option(s).","કૃપા કરી સમય જરૂરી વિકલ્પ (ઓ) નો ઉલ્લેખ કરો."
"Please wait...","મહેરબાની કરી રાહ જુવો..."
"Position","સ્થિતિ"
"Prev","પૂર્વ"
"Previous","અગાઉના"
"Price","કિંમત"
"Price Type","ભાવનો પ્રકાર"
"Print This Page","આ પૃષ્ઠ છાપો"
"Product","ઉત્પાદન"
"Product Alerts","ઉત્પાદન ચેતવણીઓ"
"Product Attributes","ઉત્પાદનનાં લક્ષણો"
"Product Categories","ઉત્પાદન શ્રેણીઓ"
"Product Flat Data","ઉત્પાદન ફ્લેટ ડેટા"
"Product Image Placeholders","ઉત્પાદન છબી જગ્યામાં"
"Product Image Watermarks","ઉત્પાદન છબી વ Waterટરમાર્ક્સ"
"Product In Websites","વેબસાઇટ્સમાં ઉત્પાદન"
"Product Info Column","ઉત્પાદન માહિતી કumnલમ"
"Product Link Block Template","ઉત્પાદન લિંક બ્લોક Templateાંચો"
"Product Link Inline Template","ઉત્પાદન લિંક ઇનલાઇન Templateાંચો"
"Product Listing Sort by","દ્વારા ઉત્પાદન સૂચિ સ Sર્ટ કરો"
"Product Name","ઉત્પાદન નામ"
"Product is not loaded","ઉત્પાદન લોડ થયેલ નથી"
"Products","ઉત્પાદનો"
"Products Comparison List","ઉત્પાદનો તુલના સૂચિ"
"Products Information","ઉત્પાદનો માહિતી"
"Products only","ઉત્પાદનો જ"
"Products per Page on Grid Allowed Values","ગ્રીડ માન્ય મૂલ્યો પર પૃષ્ઠ દીઠ ઉત્પાદનો"
"Products per Page on Grid Default Value","ગ્રીડ ડિફaultલ્ટ મૂલ્ય પર પૃષ્ઠ દીઠ ઉત્પાદનો"
"Products per Page on List Allowed Values","અનુમતિ મૂલ્યોની સૂચિ પર પૃષ્ઠ દીઠ ઉત્પાદનો"
"Products per Page on List Default Value","સૂચિ ડિફaultલ્ટ મૂલ્ય પર પૃષ્ઠ દીઠ ઉત્પાદનો"
"Properties","ગુણધર્મો"
"Qty","ક્યુટી"
"Qty Increments","જથ્થો વધારો"
"Qty Uses Decimals","Qty દશાંશ ઉપયોગ કરે છે"
"Quantity","જથ્થો"
"Redirect URL","પુનઃદિશામાન યુઆરએલ"
"Related Products","સંબંધિત વસ્તુઓ"
"Remove","દૂર કરો"
"Remove Product From Websites","વેબસાઇટ્સમાંથી ઉત્પાદનને દૂર કરો"
"Remove This Item","આ વસ્તુ દૂર કરો"
