"* Required Fields","* જરૂરી માહિતી"
"Admin","એડમિન"
"Authorize","અધિકૃત કરો"
"Close","બંધ"
"Created At","બનાવ્યું"
"Customer","
                    ગ્રાહક
                "
"Delete","
                    કાઢી નાખો
                "
"Disable","
                    અક્ષમ કરો
                "
"Disabled","
                    અક્ષમ
                "
"Edit","સંપાદિત કરો"
"Email","
                    ઇમેલ
                "
"Email Address","ઈ - મેઈલ સરનામું"
"Enable","
                    સક્ષમ કરો
                "
"Enabled","સક્ષમ"
"ID","આઇડી"
"Key","કી"
"Login","પ્રવેશ કરો"
"Name","
                    નામ
                "
"Password","પાસવર્ડ"
"Permissions","પરવાનગી"
"Role Name","ભૂમિકા નામ"
"Save","
                    સાચવો
                "
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Status","સ્થિતિ"
"System","સિસ્ટમ"
"User ID","વપરાશકર્તા ID"
"User Name","વપરાશકર્તા નામ"
