"* Required Fields","* שדות חובה"
"--Please Select--","-- נא לבחור --"
"<label>Make Check payable to:</label> %s","<label>צ'ק לפקודת:</label> %s"
"Bank Transfer Payment","העברה בנקאית"
"Card Verification Number","קוד אימות לכרטיס"
"Check / Money Order","המחאה / מזומן"
"Credit Card Number","מספר כרטיס אשראי"
"Credit Card Number: xxxx-%s","מספר כרטיס אשראי: xxxx-%s"
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Type: %s","סוג כרטיס אשראי: %s"
"Credit Card Types","סוג כרטיסי אשראי"
"Credit card type is not allowed for this payment method.","סוג כרטיס האשראי אינו מותר עבור שיטת התשלום הנוכחית."
"Currency","מטבע"
"Day","יום"
"Enabled","פעיל"
"Expiration Date","תאריך תפוגה"
"Expiration Date: %s/%s","תאריך תפוגה: %s/%s"
"Incorrect credit card expiration date.","תאריך תפוגת כרטיס אשראי שגוי."
"Instructions","הוראות"
"Invalid Credit Card Number","מספר כרטיס אשראי לא תקין"
"Issue Number","מספר מקרה"
"Make Check payable to:","כתוב את השיק לפקודת:"
"Make Check payable to: %s","צ'ק לפקודת: %s"
"Maximum Order Total","סך ההזמנה המרבי"
"Merchant ID","מספר מזהה של סוחר"
"Minimum Order Total","סך הזמנה מינימלי"
"Month","חודש"
"N/A","לא זמין"
"Name on Card","שם בעל הכרטיס"
"Name on the Card: %s","שם על כרטיס: %s"
"New Order Status","סטטוס הזמנה חדשה"
"Password","סיסמה"
"Payment Method","שיטת התשלום"
"Payment Methods","שיטות תשלום"
"Payment Services","שירותי תשלום"
"Payment from Applicable Countries","תשלום ממדינות מאושרות"
"Payment from Specific Countries","תשלום ממדינות ספציפיות"
"Please enter a valid credit card verification number.","נא הזן מספר אימות כרטיס אשראי תקין."
"Purchase Order Number","מספר הזמנת הרכישה"
"Purchase Order Number: %s","מספר הזמנה: %s"
"Saved CC","נשמר CC"
"Selected payment type is not allowed for billing country.","סוג התשלום שנבחר אינו מאושר עבור המדינה בפרטי התשלום."
"Send Check to","שלח כדי לבדוק ל-"
"Send Check to:","שלח כדי לבדוק ל-:"
"Shipping Amount","תעריף המשלוח"
"Sort Order","סדר מיון"
"Start Date","תאריך התחלה"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro מספר Issue"
"Switch/Solo/Maestro Only","החלפה/סולו/מאסטרו בלבד"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro תאריך התחלה"
"Tax Amount","סכום המס"
"Test Mode","מצב בדיקה"
"The payment review action is unavailable.","פעולת סקירת התשלום אינה זמינה."
"The requested Payment Method is not available.","שיטת התשלום המבוקשת אינה זמינה."
"Title","כותרת"
"What is this?","מה זה?"
"Year","שנה"
"Zero Subtotal Checkout","סכום סה""כ של סיכום ביניים שווה לאפס"
