"# of Uses","# שימושים"
"Action","פעולה"
"Add","הוספה"
"Add New Tag","תג חדש"
"Add Tags","הוסף תגים"
"Add Your Tags:","הוסף תגים משלך:"
"Add to Cart","הוסף לסל"
"Add to Wishlist","הוספה למועדפים"
"All Tags","כל התגים"
"Approved","אושרה"
"Are you sure you want to delete this tag?","האם למחוק את התגית?"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות את זה?"
"Are you sure?","האם אתה בטוח?"
"Back","חזור"
"Back to Tags List","חזור לרשימת התגיות"
"Block Information","בלוק מידע"
"Change status","שנה סטטוס"
"Click on a tag to view your corresponding products.","לחץ על תגית כדי לראות המוצרים הקשורים שלך"
"Country","ארץ"
"Customer Since","לקוח מאז"
"Customers","לקוחות"
"Customers Tagged '%s'","לקוחות סימנו עם תגית '%s'"
"Delete","מחק"
"Delete Tag","מחק תגית"
"Disabled","לא פעיל"
"Edit Tag '%s'","ערוך תגית '%s'"
"Email","דואר אלקטרוני"
"First Name","שם פרטי"
"General Information","מידע כללי"
"Grid","גריד תצוגה"
"ID","מזהה"
"Last Name","שם משפחה"
"List","רשימה"
"My Recent Tags","תגיות אחרונות שלי"
"My Tags","תגיות שלי"
"Name","שם"
"New Tag","תגית חדשה"
"No matches found.","לא נמצאו התאמות."
"Other people marked this product with these tags:","אנשים אחרים נתנו למוצר הזה את התגים:"
"Pending","ממתינה"
"Pending Tags","תגים ממתינים"
"Popular","פופלורי"
"Popular Tags","תגים פופולריים"
"Price","מחיר"
"Product Name","שם מוצר"
"Product SKU","קוד/מק""ט מוצר"
"Product Tags","תגיות מוצר"
"Products","מוצרים"
"Products Tagged with '%s'","מוצרים מתוייגים עם '%s'"
"Products tagged with '%s'","מוצרים מתוייגים עם '%s'"
"Remove","הסר"
"SKU","מק''ט"
"Save Tag","שמור תגית"
"Save and Continue Edit","שמור והמשך בעריכה"
"Status","סטטוס"
"Store View","תצוגת חנות"
"Tag","תג"
"Tag Name","שם תג"
"Tags","תגיות"
"Tags:","תגים:"
"Telephone","טלפון"
"Unable to find any products tagged with '%s' in the current store","לא נמצאו מוצרים עם תג  '%s' בחנות הנוכחית"
"Unable to remove tag. Please, try again later.","לא יכול להסיר תג. אנא נסה מאוחר יותר."
"Update","עדכן"
"Use spaces to separate tags. Use single quotes (') for phrases.","השתמש ברווחים בכדי להפריד את התגים. השתמש ב (') במשפטים"
"View All Tags","הצג כל התגים"
"View Customers","הצג לקוחות"
"View Products","הצג מוצרים"
"You have not tagged any products yet.","עדיים לא תייגת מוצרים"
"ZIP/Post Code","מיקוד/ת.ד."
"[STORE VIEW]","[תצוגת חנות]"
