"-- Please Select --","-- कृपया चुने --"
"Admin","व्यवस्थापक"
"Advanced","उन्नत"
"Allow Countries","देशों की अनुमति दें"
"Are you sure?","क्या आपको यकीन है?"
"Back","पीछे	"
"Base Link URL","आधार लिंक URL"
"Base URL","आधार URL"
"Browser Capabilities Detection","ब्राउज़र क्षमताओं का पता लगाना"
"CSS Settings","सीएसएस सेटिंग्स"
"Cancel","रद्द करें"
"Card type does not match credit card number.","कार्ड का प्रकार क्रेडिट कार्ड नंबर से मेल नहीं खाता है।"
"Code","कोड"
"Copyright","कॉपीराइट"
"Country","देश"
"Create Store","स्टोर बनाएँ"
"Create Website","वेबसाइट बनाएँ"
"Credit card number does not match credit card type.","क्रेडिट कार्ड नंबर क्रेडिट कार्ड के प्रकार से मेल नहीं खाता है।"
"Custom Design","कस्टम डिजाइन"
"Custom Email 1","कस्टम ईमेल 1"
"Custom Email 2","कस्टम ईमेल 2"
"Customer Support","ग्राहक सहायता"
"Dashboard","डैशबोर्ड"
"Debug","डीबग"
"Default","चूक"
"Default Country","डिफ़ॉल्ट देश"
"Default Robots","डिफ़ॉल्ट रोबोट"
"Default Store","डिफ़ॉल्ट स्टोर"
"Delete","हटाएँ"
"Design","डिज़ाइन"
"Developer","डेवलपर"
"Display Demo Store Notice","डेमो स्टोर नोटिस"
"Duplicate Of Template Name","टेम्प्लेट नाम का डुप्लिकेट"
"Enabled","सक्षम"
"Enabled for Admin","व्यवस्थापक के लिए सक्षम"
"Favicon Icon","फ़ेविकॉन आइकन"
"Footer","फ़ुटबाल"
"General","सामान्य"
"General Contact","सामान्य संपर्क"
"Global","वैश्विक"
"HTML Head","HTML प्रमुख"
"Header","हैडर"
"Incorrect credit card expiration date.","गलत क्रेडिट कार्ड की समाप्ति तिथि।"
"Input type ""%value%"" not found in the input types list.","इनपुट प्रकार सूची में इनपुट प्रकार ""%value%"" नहीं मिला।"
"Invalid date","अमान्य तिथि"
"JavaScript Settings","जावास्क्रिप्ट सेटिंग्स"
"Layout","ख़ाका"
"Login is Case Sensitive","लॉगिन केस संवेदी है"
"Logo Image","लोगो छवि"
"Logo Image Alt","लोगो छवि Alt"
"Media Storage","मीडिया संग्रहण"
"Merge CSS Files","सीएसएस सेटिंग्स मर्ज करें"
"Merge JavaScript Files","जावास्क्रिप्ट फ़ाइलों को मर्ज करें"
"Miscellaneous HTML","विविध HTML"
"Name","नाम"
"No","नहीं"
"Please enter a number 0 or greater in this field.","कृपया इस क्षेत्र में 0 या अधिक संख्या दर्ज करें।"
"Please enter a number greater than 0 in this field.","कृपया इस क्षेत्र में 0 से अधिक संख्या दर्ज करें।"
"Please enter a valid $ amount. For example $100.00.","कृपया एक मान्य $ राशि दर्ज करें। उदाहरण के लिए $ 100.00।"
"Please enter a valid credit card number.","कृपया वैध क्रेडिट कार्ड नम्बर दर्ज करें।"
"Please enter a valid credit card verification number.","कृपया एक मान्य क्रेडिट कार्ड सत्यापन नंबर दर्ज करें।"
"Please enter a valid date.","कृपया एक मान्य तिथि प्रविष्ट करें।"
"Please enter a valid month (1-12).","कृपया एक मान्य महीना (1-12) दर्ज करें।"
"Please enter a valid number in this field.","कृपया इस क्षेत्र में एक मान्य संख्या दर्ज करें।"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","कृपया एक मान्य फोन नंबर दर्ज करें। उदाहरण के लिए (123) 456-7890 या 123-456-7890।"
"Please enter a valid zip code.","एक वैध ज़िप कोड दर्ज करें।"
"Please enter issue number or start date for switch/solo card type.","कृपया स्विच / सोलो कार्ड प्रकार के लिए अंक संख्या या प्रारंभ तिथि दर्ज करें।"
"Please make sure your passwords match.","अपने पासवर्ड का मिलान सुनिश्चित करें।"
"Please select State/Province.","कृपया राज्य / प्रांत का चयन करें।"
"Please select an option.","कृपया एक विकल्प चुनें।"
"Please select one of the options.","कृपया किसी एक विकल्प का चयन करें।"
"Please use letters only (a-z or A-Z) in this field.","कृपया इस क्षेत्र में केवल अक्षरों (ए-जेड या ए-जेड) का उपयोग करें।"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","कृपया इस तिथि प्रारूप का उपयोग करें: dd / mm / yyyy। उदाहरण के लिए 17/03/2006 मार्च 17, 2006 के लिए।"
"Sales Representative","बिक्री प्रतिनिधि"
"Save","सहेजें"
"Security","सुरक्षा"
"Sender Email","भेजने वाले का ईमेल"
"Sender Name","भेजने वाले का नाम"
"Services","सेवाए"
"Sort Order","सॉर्ट क्रम"
"Status","स्थिति"
"Store","स्टोर"
"Store View","स्टोर दृश्य"
"Store with the same code","एक ही कोड के साथ स्टोर करें"
"System","सिस्‍टम"
"Template Variables","टेम्प्लेट चर"
"The store does not exist","स्टोर मौजूद नहीं है"
"The value is not within the specified range.","मान निर्दिष्ट सीमा के भीतर नहीं है।"
"The website does not exist.","वेबसाइट मौजूद नहीं है।"
"Themes","विषय-वस्तु"
"This is a required field.","यह एक ज़रूरी जगह हैं।"
"This will be included before head closing tag in page HTML.","यह पृष्ठ HTML में हेड क्लोजिंग टैग से पहले शामिल किया जाएगा।"
"Transactional Emails","लेन-देन संबंधी ईमेल"
"Translate Inline","इनलाइन अनुवाद"
"Translations","अनुवाद"
"None","कोई नहीं"
"Web","वेब"
"Website","वेबसाइट"
"Website with the same code","उसी कोड के साथ वेबसाइट"
"Welcome Text","स्वागत पाठ"
"Yes","हाँ"
