"Actions","कार्रवाई"
"Active","सक्रिय"
"Apply","लागू करें"
"Catalog","कैटलॉग"
"Created On","को निर्मित"
"Customer Groups","ग्राहक समूह"
"Default Label","डिफ़ॉल्ट लेबल"
"Description","विवरण"
"Discount Amount","छूट राशि"
"Edit Rule","नियम संपादित करें"
"General Information","सामान्य जानकारी"
"ID","आईडी"
"Inactive","निष्क्रिय"
"New Rule","नए नियम"
"No","नहीं"
"Payment Method","भुगतान का तरीका"
"Priority","प्राथमिकता"
"Promotions","प्रचार"
"Save and Continue Edit","सहेजें और संपादित करना जारी रखें"
"Shipping Method","शिपिंग का तरीका"
"Special Price","विशेष मूल्य"
"Status","स्थिति"
"Store View Specific Labels","स्टोर विशिष्ट लेबल देखें"
"Subtotal","उप-योग"
"This rule no longer exists.","यह नियम अब मौजूद नहीं है।"
"Total","कुल"
"Website","वेबसाइट"
"Websites","वेबसाइटों"
"Yes","हाँ"
