"Active","Aktivno"
"Add New Rule","Dodaj novo pravilo"
"Apply","Primjeni"
"Apply Rules","Izvrši pravilo"
"Attribute Set","Set atributa"
"By Fixed Amount","Po fiksnom iznosu"
"Catalog","Katalog"
"Catalog Price Rule","Pravilo za određivanje cijene u katalogu"
"Catalog Price Rules","Pravilo za određivanje cijena u katalogu"
"Category","Kategorija"
"Conditions","Uvjeti"
"Conditions (leave blank for all products)","Uvjeti (ostavi prazno za sve proizvode)"
"Conditions Combination","Kombinacija uvjeta"
"Customer Groups","Grupe korisnika"
"Date Expire","Datum isteka"
"Date From","Datum od"
"Date Start","Datum startao"
"Description","Opis"
"Discount Amount","Iznos popusta"
"Edit Rule","Uredi pravilo"
"Edit Rule '%s'","Uredi pravilo '%s'"
"Expiration Date","Datum isteka"
"From Date","Od datuma"
"General Information","Opće informacije"
"Inactive","Neaktivno"
"New Rule","Novo pravilo"
"No","Ne"
"Options","Opcija"
"Priority","Prioritet"
"Product Attribute","Atribut proizvoda"
"Promotions","Promocije"
"Rule Information","Informacije o pravilu"
"Rule Name","Ime pravila"
"Save and Apply","Spremi i primjeni"
"Start Date","Početni datum"
"To Date","Do datuma"
"To Fixed Amount","Do fiksne količine"
"Type","Tip"
"Update product's %s %s: %s","Dopuni artikle %s %s: %s"
"Website","Web stranica"
"Yes","Da"
