"%s and greater","%s i više"
"Advanced Search","Napredna pretraga"
"All","Sve"
"Catalog Advanced Search","Napredno pretraživanje kataloga"
"Go to Home Page","Odi na početnu stranicu"
"Grid","tablično"
"Home","Početna"
"List","redno"
"Modify your search","Promijeni odrednice pretrage"
"No","Ne"
"Popular Search Terms","Popularni termini pretraživanja"
"Results","Rezultati"
"Search","Traži"
"Search Settings","Pojmovi za pretragu"
"Search Terms","Pojmovi za pretragu"
"Search entire store here...","Pretražite svu ponudu ovdje..."
"Search results for '%s'","Pretraži stranice za '%s'"
"Search results for: '%s'","Pretraži stranice za: '%s'"
"Subscribe to Feed","Pretplaćen na RSS"
"There are no search terms available.","Nema pojmova za pretraživanje."
"Yes","Da"
"Your search returns no results.","Nema rezultata vaše pretrage."
"up to %s","do %s"
