"Action","Akcija"
"Add New Block","Dodaj novi blok"
"Add New Page","Dodaj novu stranicu"
"Block Title","Naslov bloka"
"CMS Home Page","CMS početna stranica"
"Custom Design","Prilagođeni dizajn"
"Custom Theme","Prilagođena tema"
"Customer Tax Class Information","Informacija o poreznoj klasi kupca"
"Date Created","Datum kreiranja"
"Delete Block","Obriši blok"
"Delete Page","Obriši stranicu"
"Description","Opis"
"Design","Dizajn"
"Disabled","Isključen"
"Edit Block","Uredi blok"
"Edit Block '%s'","Uredi blok '%s'"
"Edit Page","Uredi stranicu"
"Edit Page '%s'","Uredi stranicu %s'"
"Enabled","Omogućeno"
"General Information","Opće informacije"
"Go to Home Page","Odi na početnu stranicu"
"Home","Početna"
"Identifier","Identifikator"
"Keywords","Ključne riječi"
"Last Modified","Posljednja modifikacija"
"Layout","Razmještaj"
"Manage Pages","Upravljanje stranicama"
"Meta Data","Meta podaci"
"Meta Description","Meta opis"
"Meta Keywords","Meta pojmovi"
"New Block","Novi blok"
"New Page","Nova stranica"
"Page Information","Informacije o stranici"
"Page Status","Status stranice"
"Page Title","Naslov stranice"
"Product Tax Class Information","Informacije o poreznoj klasi proizvoda"
"Save Block","Spremi blok"
"Save Page","Spremi stranicu"
"Static Blocks","Statički blokovi"
"Store View","Izlog"
"Template","Predložak"
"Title","Naslov"
