"Action","Akcija"
"Add New Template","Dodaj novi predložak"
"Add to Queue","Dodaj u red čekanja"
"Are you sure that you want to delete this template?","Da li ste sigurni da želite obrisati ovaj predložak?"
"Are you sure that you want to strip all tags?","Jeste li sigurni da želite skinuti sve oznake?"
"Back","Natrag"
"Cancel","Poništi"
"Cancelled","Poništeno"
"Confirmation Email Sender","Pošiljatelj potvrdne poruke"
"Confirmation Email Template","Predložak potvrdne poruke"
"Convert to Plain Text","Konvertiraj u čisti tekst"
"Create Newsletter Template","Kreiraj predložak za newsletter"
"Customer","Kupac"
"Date Updated","Datum ažuriranja"
"Delete","Obriši"
"Delete Selected Problems","Obriši označene probleme"
"Delete Template","Obriši predložak"
"Do you really want to cancel the queue?","Zaista želite odustati od čekanja?"
"Edit Newsletter","Ažuriraj newsletter"
"Edit Newsletter Template","Ažuriraj predložak newslettera"
"Edit Queue","Ažuriraj red čekanja"
"Edit Template","Ažurirak predložak"
"Email","email"
"Enter your email address","Unesite svoju adresu elektroničke pošte"
"Error Code","Kod greške"
"Error Text","Tekst greške"
"Guest","Gost"
"Need to Confirm","Potrebno je potvrditi"
"New Newsletter Template","Novi predložak za newsletter"
"New Template","Novi predložak"
"Newsletter","Newsletter Finish"
"Newsletter Message Preview","Pregled poruka o newsletteru"
"Newsletter Problem Reports","Izvještaji o problemima s newsletterom"
"Newsletter Subscribers","Pretplatnici na newsletter"
"Newsletter Subscription","Prijava na newsletter"
"Newsletter Subscriptions","Pretplate na newsletter"
"Newsletter Templates","Predlošci za newsletter"
"Newsletter subscription confirmation","Potvrda pretplate na newsletter"
"Newsletter subscription success","Uspješno ste se prijavili na newsletter"
"Newsletter unsubscription success","Uspješno ste ukinuli prijavu na newsletter"
"No Templates Found","Prdlošci nisu pronađeni"
"Not Sent","Nije poslano"
"Pause","Pauza"
"Please enter new template name","Molim, unesite novo ime predloška"
"Please select subscriber(s)","Molim odaberite pretplatnike"
"Preview","Pregled"
"Preview Template","Pregled predloška"
"Processed","Provedeno"
"Queue Date Start","Datum formiranja reda čekanja"
"Queue Information","Informacije o redu čekanja"
"Queue Start","Početak reda čekanja"
"Queue Subject","Predmet reda čekanja"
"Recipients","Primatelji"
"Reset","Resetiraj"
"Resume","Nastavi"
"Save As","Spremi kao"
"Save Newsletter","Spremi newsletter"
"Save Template","Spremi predložak"
"Sender","Pošiljatelj"
"Sender Email","Email pošiljatelja"
"Sender Name","Ime pošiljatelja"
"Sending","Šaljem"
"Sent","Poslano"
"Sign up for our newsletter","Ulogirajte se za naš newsletter"
"Store","Trgovina"
"Store View","Izlog"
"Subject","Predmet"
"Submit","Potvrdi"
"Subscribe","Prijavite se"
"Subscriber","Pretplatnik"
"Subscribers","Pretplatnici"
"Subscribers From","Obrazac za pretplatu"
"Subscription Options","Opcije pretplate"
"Template Content","Sadržaj predloška"
"Template Information","Informacije o predlošku"
"Template Name","Ime predloška"
"Template Subject","Naziv predloška"
"Template Type","Tip predloška"
"There was a problem with the subscription: %s","Postoji problem s pretplatom: %s"
"There was a problem with the un-subscription.","Postoji problem s otkazivanjem pretplate."
"Type","Tip"
"Unsubscribe","Pretplata otkazana"
"Unsubscribe Selected","Ukini pretplatu za selektirane"
"Unsubscription Email Sender","Pošiljatelj poruke za otkazivanje pretplate"
"Unsubscription Email Template","Obrazac poruke za otkazivanje pretplate"
"View Newsletter","Pogledaj newsletter"
"Website","Web stranica"
