"* Required Fields","* Obavezna polja"
"--Please Select--","--Molimo vas odaberite---"
"<label>Make Check payable to:</label> %s","<label>Omogućite naplatu čeka za</label> %s"
"Card Verification Number","Kontrolni broj"
"Credit Card Number","Broj kreditne kartice"
"Credit Card Number: xxxx-%s","Broj kreditne kartice: xxxx-%s"
"Credit Card Type","Tip kreditne kartice"
"Credit Card Type: %s","Tip kreditne kartice: %s"
"Credit Card Types","Vrste kreditnih kartica"
"Currency","Valuta"
"Enabled","Omogućeno"
"Expiration Date","Datum isteka"
"Expiration Date: %s/%s","Datum isteka: %s/%s"
"Issue Number","Broj izdanja"
"Make Check payable to: %s","Ček naplativ za: %s"
"Month","Mjesec"
"Name on Card","Ime na kreditnoj kartici"
"Name on the Card: %s","Ime na kreditnoj kartici: %s"
"Password","Lozinka"
"Payment Method","Način plaćanja"
"Payment Methods","Načini plaćanja"
"Purchase Order Number","Broj narudžbenice"
"Purchase Order Number: %s","Broj narudžbenice: %s"
"Saved CC","Kreditne kartice (offline)"
"Send Check to","Pošalji ček na"
"Send Check to:","Pošalji ček na:"
"Shipping Amount","Količina za isporuku"
"Sort Order","Redosljed sortiranja"
"Start Date","Početni datum"
"Tax Amount","Iznos poreza"
"Title","Naslov"
"What is this?","Što je ovo?"
"Year","Godina"
"Zero Subtotal Checkout","Kupovina bez iznosa"
