"Add Recipient","Dodaj primatelja"
"Allow for Guests","Dopusti pristup gostima"
"Back","Natrag"
"Email Address","Adresa elektroničke pošte"
"Email Address:","Email adresa:"
"Email:","e-mail:"
"Enabled","Omogućeno"
"Limit Sending By","Ograniči slanje"
"Max Products Sent in 1 Hour","Najviše proizvoda poslanih u roku 1 sat"
"Max Recipients","Najviše primatelja"
"Maximum %d email addresses allowed.","Dozvoljeno je najviše %d email adresa."
"Name","Naziv"
"Name:","Ime:"
"Recipient:","Primatelj:"
"Remove Email","Uklonite email"
"Send product to a friend","Pošaljite proizvod prijatelju"
"Sender:","Pošiljatelj:"
