"-- Please Select --","-- Izaberite --"
"All","Sve"
"All Product Types","Svi tipovi proizvoda"
"Apply","Primjeni"
"Big Image","Velika slika"
"Categories","Kategorije"
"Close","Zatvori"
"Continue","Nastavi"
"Delete","Obriši"
"Export to:","Izvezi u:"
"Frontend Properties","Svojstva vanjskog sučelja"
"Images","Slike"
"Next page","Slijedeća stranica"
"Page","Stranica"
"Previous page","Prethodna stranica"
"Products","Proizvodi"
"Select All","Označi sve"
"Select Visible","Označi vidljivo"
"Settings","Postavke"
"Sort Order","Redosljed sortiranja"
"Template","Predložak"
"The information in this tab has been changed.","Podaci u ovom tab-u su promijenjeni."
"This tab contains invalid data. Please solve the problem before saving.","Ovaj tab sadrži nepravilne podatke. Molimo rješite problem prije spremanja."
"Thumbnail","Sličica"
"Total %d records found","Pronađeno je ukupnol %d slogova"
"Type","Tip"
"Unselect All","Odznači sve"
"Unselect Visible","Odznači vidljivo"
"View","Pregled"
"items selected","odabrane stavke"
"of %s pages","od %s stranica"
"per page","po stranici"
