"%s and greater","%s és felette"
"Advanced Search","Részletes keresés"
"All","Összes"
"Catalog Advanced Search","Részletes katalógus keresés"
"Catalog Search","Katalógus keresés"
"Don't see what you're looking for?","Nem látja, amit keres?"
"Go","Mehet"
"Go to Home Page","Ugrás a honlapra"
"Grid","Rács"
"Home","Kezdőlap"
"List","Lista"
"Maximum Query Length","Lekérdezés maximum hossza"
"Maximum Query Words Count","Maximum kereső szavak"
"Minimal Query Length","Lekérdezés minimum hossza"
"Modify your search","Módosítsa keresését"
"No","Nem "
"No items were found using the following search criteria.","Nem találtunk a keresési feltételnek megfelelő terméket."
"Popular Search Terms","Népszerű keresési kifejezések"
"Rebuild Catalog product fulltext search index","Katalógus kulcsszavas keresés indexének újraépítése"
"Relevance","Relevancia"
"Results","Eredmények"
"Search","Keresés"
"Search Settings","Keresési beállítások"
"Search Terms","Keresőkifejezések"
"Search Type","Keresés típusa"
"Search entire store here...","Keresés..."
"Search results for '%s'","Keresés eredményei erre: '%s'"
"Search results for: '%s'","Keresés eredményei erre: '%s'"
"Subscribe to Feed","Feliratkozás hírforrásra"
"There are no search terms available.","Nincs elérhető keresési kifejezés."
"Yes","Igen"
"Your search returns no results.","A keresés nem hozott eredményt."
"up to %s","egészen %s-ig"
