"* Required Fields","* kitöltése kötelező"
"Add New Address","Új cím hozzáadása"
"Add New Condition","Új feltétel hozzáadása"
"Add to Cart","Kosárba"
"Add to Compare","Összehasonlításhoz ad"
"Add to Wishlist","Hozzáadás a kívánságlistához"
"Address","Cím"
"Address %s of %s","Címek %s - %s"
"After Adding a Product Redirect to Shopping Cart","A termék kosárba helyezése után a kosár megjelenítése"
"Allow Guest Checkout","Vendég fizetés engedélyezése"
"Already registered?","Már regisztrált nálunk?"
"An error occurred in the process of payment","Hiba lépett fel a fizetési folyamatban"
"Apply","Alkalmazás"
"Apply Coupon","Kupon érvényesítése"
"Are you sure you would like to remove this item from the shopping cart?","Biztosan eltávolítja ezt a terméket a kosárból?"
"Back","Vissza"
"Back to Billing Information","Vissza a számlázási információkhoz"
"Back to Shipping Information","Vissza a szállítási információkhoz"
"Based on your selection, you may be interested in the following items:","Alapozva a választására, talán a következő termékeink is érdekelni fogják:"
"Billing Address","Számlázási cím"
"Billing Information","Számlázási információk"
"Billing Information - %s","Számlázási információk - %s"
"Cancel","Mégse"
"Cancel Coupon","Kupon felhasználás megszakítása"
"Cannot process the item.","Nem lehet feldolgozni az elemet."
"Card Verification Number Visual Reference","Kártya ellenőrző kód, Látható hivatkozás"
"Cart Subtotal:","Kosár részösszeg:"
"Change","Módosítás"
"Change Billing Address","Számlázási cím módosítása"
"Checkbox Text","Jelölőnégyzet szöveg"
"Checkout","Fizetés"
"Checkout Conditions","Fizetési feltételek"
"Checkout Options","Fizetési lehetőségek"
"Checkout Section","Pénztár szekció"
"Checkout Terms and Conditions","Pénztár általános szerződési feltételek"
"Checkout as Guest","Vásárlás vendégként"
"Checkout as a Guest or Register","Vásárlás vendégként vagy regisztráció"
"Checkout with Multiple Addresses","Számlázás több címre"
"City","Város"
"Clear Shopping Cart","Kosár kiürítése"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Kattintson <a href=""%s"" onclick=""this.target='_blank'"">ide a nyomtatáshoz</a> ami a rendelésvisszaigazolást tartalmazza."
"Close","Bezár"
"Company","Cég"
"Condition Name","Feltétel neve"
"Configurable Product Image","Beállítható termék képe"
"Confirm Password","Jelszó megerősítése"
"Content","Tartalom"
"Content Height","Tartalom magasság"
"Content Height (css)","Tartalom magasság (css)"
"Continue","Folytatás"
"Continue Shopping","Vásárlás folytatása"
"Continue to Billing Information","Tovább a számlázási információkhoz"
"Continue to Review Your Order","Tovább a rendelés áttekintéséhez"
"Continue to Shipping Information","Tovább a szállítási információkhoz"
"Country","Ország"
"Coupon code ""%s"" is not valid.","Kupon kód ""%s"" nem érvényes."
"Create Billing Address","Számlázási cím létrehozása"
"Create Shipping Address","Szállítási cím létrehozása"
"Customer Information","Vevő információk"
"Data saving problem","Mentési probléma"
"Default Billing","Alapértelmezett számlázás"
"Default Shipping","Alapértelmezett szállítás"
"Delete Condition","Feltétel törlése"
"Details","Részletek"
"Disabled","Tiltott"
"Discount Codes","Árengedmény kódok"
"Display Cart Summary","Kosár összefoglaló megjelenítése"
"Display Shopping Cart Sidebar","Bevásárlókosár mutatása a sidebar-on"
"Display item quantities","Termékmennyiségek megjelenítése"
"Display number of items in cart","A termék-darabszám mutatása a kosárban"
"Easy access to your order history and status","Könnyű hozzáférés a rendelés történethez és állapothoz."
"Edit","Szerkesztés"
"Edit Address","Cím szerkesztése"
"Edit Billing Address","Számlázási cím szerkesztése"
"Edit Condition","Feltétel szerkesztése"
"Edit Items","Elemek szerkesztése"
"Edit Shipping Address","Szállítási cím szerkesztése"
"Edit Terms and Conditions","Általános Szerződési Feltételek szerkesztése"
"Edit Your Cart","Kosár szerkesztése"
"Edit item parameters","Termék paraméterek szerkesztése"
"Email Address","Email cím"
"Enable Onepage Checkout","Egyoldalas fizetés engedélyezése"
"Enable Terms and Conditions","Általános Szerződési Feltételek engedélyezése"
"Enabled","Engedélyezve"
"Enter a New Address","Írjon be új címet"
"Enter your coupon code if you have one.","Adja meg a kupon kódját ha rendelkezik vele."
"Enter your destination to get a shipping estimate.","Adja meg a szállítás címét a fuvardíj becsléséhez."
"Estimate Shipping and Tax","Becsült szállítás és adó"
"Excl. Tax","Adó nélkül"
"Fast and easy check out","Könnyű és gyors vásárlás"
"Fax","Faxszám"
