"A block identifier with the same properties already exists in the selected store.","Egy blokk azonosító ugyanezekkel a tulajdonságokkal már létezik a kiválasztott áruházban."
"Action","Akció"
"Add New Block","Új blokk hozzáadása"
"Add New Page","Új oldal hozzáadása"
"All Countries","Összes ország"
"Anchor Custom Text","Egyedi horgony szöveg"
"Anchor Custom Title","Egyedi horgony cím"
"Block","Blokk"
"Block Information","Blokk információi"
"Block Title","Blokk címe"
"CMS Home Page","CMS kezdőlap"
"CMS No Route Page","CMS hibás link oldal"
"CMS Page","CMS oldal"
"CMS Page Link","CMS oldalhivatkozás"
"CMS Page Link Block Template","CMS oldalhivatkozás blokk sablon"
"CMS Page Link Inline Template","CMS oldal Link egysoros sablon"
"CMS Static Block","CMS statikus blokk"
"CMS Static Block Default Template","CMS statikus blokk alapértelmezett sablon"
"Collapse All","Összes bezárása"
"Content","Tartalom"
"Content Heading","Tartalom fejléc"
"Content Management","Tartalom-kezelés"
"Contents of a Static Block","Egy statikus blokk tartalma"
"Custom Design","Egyedi dizájn"
"Custom Layout","Egyedi elrendezés"
"Custom Theme","Egyedi téma"
"Customer Tax Class Information","Vevő áfa osztály adatok"
"Date Created","Létrehozva"
"Delete Block","Blokk törlése"
"Delete File","Fájl törlése"
"Delete Folder","Mappa törlése"
"Delete Page","Oldal törlése"
"Description","Leírás"
"Design","Dizájn"
"Disabled","Tiltott"
"Disabled Completely","Teljesen le van tiltva"
"Disabled by Default","Alapértelmezés szerint letiltva"
"Edit Block","Blokk módosítása"
"Edit Block '%s'","Blokk '%s' szerkesztése"
"Edit Page","Oldal szerkesztése"
"Edit Page '%s'","Oldal '%s' szerkesztése"
"Enable WYSIWYG Editor","WYSIWYG-szerkesztő engedélyezése"
"Enabled","Engedélyezve"
"Enabled by Default","Alapértelmezés szerint engedélyezve"
"Expand All","Összes kibontása"
"General Information","Általános információ"
"Go to Home Page","Ugrás a honlapra"
"Home","Kezdőlap"
"ID","Azonosító"
"Identifier","Azonosító"
"If empty, the Page Title will be used","Ha üres, akkor az oldal neve lesz használva"
"Insert File","Fájl beszúrása"
"Keywords","Kulcsszavak"
"Last Modified","Utoljára módosítva"
"Layout","Elrendezés"
"Layout Update XML","Elrendezés frissítés XML"
"Link to a CMS Page","CMS oldarla mutató hivatkozás"
"Manage Pages","Oldalak kezelése"
"Media Gallery","Médiagaléria"
"Media Storage","Médiatár"
"Meta Data","Meta Adatok"
"Meta Description","Meta leírás"
"Meta Keywords","Meta kulcsszavak"
"New Block","Új blokk"
"New Folder Name:","Új mappanév:"
"New Page","Új Oldal"
"No files found","Nem található fájl"
"Page Information","Oldal információ"
"Page Status","Oldal állapot"
"Page Title","Oldalcím"
"Pages","Oldalak"
"Product Tax Class Information","Termék áfa osztály információ"
"Redirect to CMS-page if Cookies are Disabled","Visszairányítás a CMS-oldalra, ha a sütik tiltva vannak"
"Save Block","Blokk mentése"
"Save Page","Oldal Mentése"
"Select Block...","Blokk kiválasztás..."
"Select Page...","Válassza ki az oldalt..."
"Show Breadcrumbs for CMS Pages","Zsemlemorzsák mutatása a CMS oldalakon"
"Show Notice if JavaScript is Disabled","Figyelmeztetés ha a JavaScript ki van kapcsolva"
"Static Blocks","Statikus blokk"
"Status","Állapot"
"Storage Root","Gyökér könyvtár"
"Store View","Bolt nézet"
"Template","Sablon"
"The page has been deleted.","Az oldal törölve."
"This block no longer exists.","Ez a blokk már nem létezik."
"This page no longer exists.","Ez az oldal már nem létezik."
"Title","Cím"
"URL Key","URL-kulcs"
"WYSIWYG Options","WYSIWYG beállítások"
