"* Required Fields","* kitöltése kötelező"
"ALL GROUPS","MINDEN CSOPORT"
"Account Dashboard","Fiók áttekintő"
"Account Information","Fiókadatok"
"Account Sharing Options","Fiók megosztási lehetőségek"
"Action","Akció"
"Add New Address","Új cím hozzáadása"
"Add New Customer","Új vásárló hozzáadása"
"Add New Customer Group","Új vevői csoport hozzáadása"
"Added From","Hozzáadva innen"
"Additional Address Entries","További cím bejegyzések"
"Address","Cím"
"Address Book","Címjegyzék"
"Address Information","Címadatok"
"Address Templates","Cím sablonok"
"Addresses","Címek"
"Admin","Adminisztrátor"
"All","Összes"
"All Store Views","Minden webáruház nézet"
"All countries","Összes ország"
"Always optional.","Mindig választható."
"Amount","Összeg"
"Approved","Elfogadva"
"Are you sure that you want to remove this item?","Biztos benne hogy eltávolítja ezt az elemet?"
"Are you sure you want to cancel adding of this address?","Biztos benne hogy megszakítja az új cím megadását?"
"Are you sure you want to delete this address?","Biztos, hogy törli ezt a címet?"
"Are you sure?","Biztos benne?"
"Assign a Customer Group","Vevőcsoport hozzárendelése"
"Average Sale","Eladások átlaga"
"Back","Vissza"
"Back to Login","Vissza a bejelentkezéshez"
"Bad request.","Hibás kérés."
"Bill to Name","Számlázás Névre"
"Bought From","Vásárolta innen:"
"By Email","Email alapján"
"By IP","IP alapján"
"By IP and Email","IP és Email alapján"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ha regisztrál nálunk, a vásárlási folyamat gyorsan végrehajtható lesz, akár több kiszállítási címet is megadhat, a megrendelések nyomonkövethetőek lesznek, és még számos egyéb lehetőség vár Önre."
"Cancel","Mégse"
"Change Account Password","Jelszó megváltoztatása"
"Change Billing Address","Számlázási cím módosítása"
"Change Password","Jelszócsere"
"Change Shipping Address","Szállítási cím módosítása"
"City","Város"
"Company","Cég"
"Config","Beállítás"
"Configure","Konfigurálás"
"Confirm New Password","Új jelszó megerősítése"
"Confirm Password","Jelszó megerősítése"
"Confirmation Link Email","Megerősítő link e-mail"
"Confirmed","Megerősítve"
"Contact Information","Elérhetőségi adatok"
"Continue Shopping","Vásárlás folytatása"
"Country","Ország"
"Create","Létrehozás"
"Create New Account Options","Új fiók létrehozásának lehetóségei"
"Create New Customer Account","Új vevői fiók létrehozása"
"Create Order","Rendelés létrehozása"
"Create an Account","Felhasználó létrehozása"
"Create customer","Vevő létrehozása"
"Create customer address","Vevő cím hozzáadása"
"Current Password","Jelenlegi jelszó"
"Customer","Vásárló"
"Customer Addresses","Vásárlók címei"
"Customer Configuration","Vevő beállítás"
"Customer Group","Vásárlói csoport"
"Customer Groups","Vevői csoportok"
"Customer Information","Vevő információk"
"Customer Login","Vásárló bejelentkezés"
"Customer Since","Első vásárlás"
"Customer View","Vevő nézet"
"Customer will stay on the current page if ""No"" is selected.","A vevő az aktuális oldalon marad ha a ""Nem"" van kiválasztva."
"Customers","Vásárlók"
"Customers Only","Csak vásárlók"
"DD","NN"
"Date","Dátum"
"Date Added","Hozzáadás dátuma"
"Date of Birth","Születési dátum"
"Day","Nap"
"Days in Wishlist","Napok a kívánságlistán"
"Default Addresses","Alapértelmezett cím"
"Default Billing Address","Alapértelmezett számlázási cím"
"Default Email Domain","Alapértelmezett e-mail domain"
"Default Group","Alapértelmezett csoport"
"Default Shipping Address","Alapértelmezett szállítási cím"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Az adószám alapján történő vevőcsoport váltás alapértelmezett értéke"
"Default Welcome Email","Alapértelmezett üdvözlő E-mail üzenet"
"Delete","Törlés"
"Delete Address","Cím törlése"
"Delete Customer","Vásárló törlése"
"Delete Customer Group","Vevőcsoport törlése"
"Delete customer","Vevő törlése"
"Delete customer address","Vevő címének törlése"
"Deleted Stores","Törölt üzletek"
"Details","Részletek"
"Disabled","Tiltott"
"Edit","Szerkesztés"
"Edit Account Info","Fiók adatok szerkesztése"
"Edit Account Information","Fiókadatok módosítása"
"Edit Address","Cím szerkesztése"
"Edit Address Entry","Cím szerkesztése"
"Edit Customer Group ""%s""","""%s"" csoport szerkesztése"
"Edit Customer Groups","Vevői csoportok szerkesztése"
"Edit Customer's Address","Vevő címének szerkesztése"
"Edit Group","Csoport szerkesztése"
"Edit Newsletters","Hírlevelek szerkesztése"
"Email","E-mail"
"Email Address","Email cím"
"Email Sender","Email feladója"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Vevőcsoport automatikus hozzárendelésének engedélyezése"
"Failed to confirm customer account.","Hiba a vevői fiók megerősítésekor"
"Fax","Faxszám"
"First Name","Keresztnév"
"Forgot Email Template","Elfelejtett e-mail sablon"
"Forgot Your Password?","Elfelejtette jelszavát?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Ezen az oldalon módosíthatja adatait, követheti megrendeléseit. Válasszon a bal oldali felsorolásból."
"Gender","Nem"
"General Subscription","Általános feliratkozás"
"Generate Human-Friendly Customer ID","Emberbarát ügyfélazonosító létrehozása"
"Global","Globális"
"Group","Csoport"
"Group Information","Csoport információ"
"Group Name","Csoport neve"
"Group for Invalid VAT ID","Érvénytelen adószám csoport"
"Group for Valid VAT ID - Domestic","Érvényes adószám csoportja - Belföldi"
