"Add","Hozzáadás"
"Add New Row","Új sor hozzáadása"
"An error occurred while saving the file(s).","Hiba történt a fájl mentése közben."
"Availability:","Elérhetőség:"
"Back","Vissza"
"Canceled","Törölve"
"Category API","Kategória API"
"Date","Dátum"
"Default Link Title","Alapértelmezett Link cím"
"Default Maximum Number of Downloads","Maximális letöltésszám alapértelmezett értéke"
"Default Sample Title","Alapértelmezett minta cím"
"Delete","Törlés"
"Disable Guest Checkout if Cart Contains Downloadable Items","Vendégként vásárlás tiltása, ha a kosár letölthető termékeket tartalmaz"
"Downloadable Information","Letölthető információk"
"Downloadable Product","Letölthető termék"
"Downloadable Product Options","Letölthető termék lehetőségek"
"Downloadable Product Section","Letölthető termékek"
"Edit","Szerkesztés"
"Edit item parameters","Termék paraméterek szerkesztése"
"Excl. Tax","Adó nélkül"
"File","Fájl"
"From:","Feladó:"
"Gift Message","Ajándék üzenet"
"Go to <a href=""%s"">My Downloadable Products</a>","Lépjen a <a href=""%s"">Letölthető termékeimhez</a>"
"Guest checkout will only work with shareable.","Vendégként fizetés csak megoszthatóval fog működni."
"In stock","Raktáron"
"Incl. Tax","Adóval"
"Invalid download link type.","Érvénytelen letöltési hivatkozástípus!"
"Invoiced","Számlázott"
"Links can be purchased separately","A hivatkozások külön-külön is megvásárolhatók"
"List","Lista"
"Max. Downloads","Max. letöltés"
"Message:","Üzenet:"
"Move","Mozgat"
"My Downloadable Products","Letölthető termékek"
"Open Links in New Window","Linkek megnyitása új ablakban"
"Order #","A rendelés száma"
"Order Item Status to Enable Downloads","Rendelés tétel állapot a letöltés engedélyezéséhez"
"Order id cannot be null","A megrendelésazonosító nem lehet üres!"
"Order item id cannot be null","A tételazonosító nem lehet üres!"
"Ordered","Megrendelt"
"Out of stock","Nincs raktáron"
"Pending","Függő"
"Please log in to download your product.","Kérjük jelentkezzen be a termék letöltéséhez."
"Please set resource file and link type.","Kérjük, állítsa be a forrásfájlt és a hivatkozás típusát!"
"Please specify product link(s).","Kérjük, adja meg a termék(ek) hivatkozását!"
"Price","Ár"
"Qty","Mennyiség"
"Refunded","Visszatérített"
"Remaining Downloads","Fennmaradó letöltések"
"Remove","Eltávolítás"
"Remove Item","Elem eltávolítása"
"SKU","Cikkszám"
"Sample","Minta"
"See price before order confirmation.","Az ár megtekintése a megrendelés megerősítése előtt."
"Shareable","Megosztható"
"Shipped","Kiszállítva"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sajnáljuk, de hiba történt a tartalom lekérése közben! Kérjük, lépjen kapcsolatba a bolt tulajdonosával!"
"Sort Order","Rendezési sorrend"
"Start Download","Letöltés indítása"
"Status","Állapot"
"Subtotal","Részösszeg"
"The link has expired.","A hivatkozás érvényességi ideje lejárt!"
"The link is not available.","A hivatkozás nem elérhető!"
"Title","Cím"
"To:","Címzett:"
"Unlimited","Korlátlan"
"Update","Frissités"
"Use Content-Disposition","Tartalom-diszpozíció használata"
"Use Default Value","Alapértelmezett érték használata"
"View Order","Rendelés áttekintése"
"What's this?","Mi ez?"
"You have not purchased any downloadable products yet.","Még nem vásárolt letölthető terméket."
"attachment","csatolmány"
"download","letöltés"
"inline","beágyazás"
"sample","minta"
