"* Select shipping method","* Válassz szállítási módot"
"2Day","2Nap"
"AVS Status: %s","AVS állapot: %s"
"Allowed Methods","Alkalmazható módok"
"Amount: %s","Mennyiség: %s"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout Charge áltat generálva"
"CC Partial: xxxx-%s","CC részlet: xxxx-%s"
"CID Status: %s","CID állapot: %s"
"Cart Discount","Kosár engedmény"
"Checkout Image Style","Pénztér kép stílus"
"Continue Shopping URL","Vásárlás folytatása URL"
"Debug","Hibakeresés"
"Default price:","Alap ár:"
"Enable","Bekapcsolás"
"Expiration: %s","Érvényesség: %s"
"Express Mail","Expressz levél"
"Financial: %s -> %s","Pénzügy: %s -> %s"
"First Overnight","Első másnap"
"Free Shipping","Ingyenes szállítás"
"Fulfillment: %s -> %s","Teljesítés: %s -> %s"
"Google Charge:","Google terhelés:"
"Google Checkout","Google Pénztár"
"Google Checkout Shipping - Carrier Calculated","Google Pénztár Szállítás - Szállító számolja"
"Google Checkout Shipping - Flat Rate","Google Pénztár Szállítás - Átalány"
"Google Checkout Shipping - Merchant Calculated","Google Pénztár Szállítás - Kereskedő számolja"
"Google Checkout: %s","Google Pénztár: %s"
"Google Refund:","Google visszatérítés:"
"Google Risk Information:","Google rizikó információ:"
"Ground","Alap"
"Home Delivery","Házhozszállítás"
"IP Address: %s","IP cím: %s"
"Inches","Hüvelyk"
"Latest Charge: %s","Utolsó terhelés: %s"
"Latest Refund: %s","Utolsó visszatérítés: %s"
"Location","Hely"
"Merchant ID","Kereskedő azonosító"
"Merchant Key","Kereskedő kulcs"
"New Order Status","Új megrendelés állapota"
"No","Nem "
"Optional, leave empty for home page.","Választható, hagyd üresen a honlaphoz."
"Parcel Post","Csomagposta"
"Priority Mail","Elsőbbségi levél"
"Priority Overnight","Elsőbbségi másnap"
"Sandbox","Próba üzemmód"
"Standard Overnight","Normál másnap"
"Title","Cím"
"Total Charged: %s","Összesen terhelt: %s"
"Total Refunded: %s","Összesen visszatérített: %s"
"United Kingdom","Anglia"
"United States","Egyesült államok"
"Yes","Igen"
