"Add Recipient","Új címzett"
"Allow for Guests","Engedélyezés vendégeknek"
"Back","Vissza"
"Email Address","Email cím"
"Email Address:","E-mail cím:"
"Email Templates","E-mailsablonok"
"Email to a Friend","Email egy barátnak"
"Email:","E-mail:"
"Enabled","Engedélyezve"
"Invalid Sender Information","Érvénytelen küldő információ"
"Limit Sending By","Küldő limit"
"Max Products Sent in 1 Hour","Max küldhető termékek 1 órán belül"
"Max Recipients","Max címzettek száma"
"Maximum %d email addresses allowed.","Maximum %d e-mail cím engedélyezett."
"Message:","Üzenet:"
"Name","Név"
"Name:","Név:"
"Recipient:","Címzett:"
"Remove Email","E-mail törlése"
"Select Email Template","Válasszon email sablont"
"Send Email","E-mail küldése"
"Send product to a friend","Termék küldése barátoknak"
"Sender:","Küldő:"
"Some emails were not sent.","Néhány email nem lett elküldve."
"The link to a friend was sent.","A link elküldve egy barátnak."
