"--Please Select--","--Silahkan pilih--"
"Card Verification Number","Nomor Verifikasi Kartu"
"Card Verification Number Visual Reference","Nomor Referensi Visual Verifikasi Kartu"
"Close","Tutup"
"Credit Card Information","Informasi Kartu Kredit"
"Credit Card Number","Nomor kartu kredit"
"Credit Card Type","Tipe kartu kredit"
"Credit Card Types","Jenis Kartu Kredit"
"Debug","Debugging"
"Enabled","Diaktifkan"
"Expiration Date","Tanggal kadaluarsa"
"Gateway URL","URL Gateway"
"Maximum Order Total","Maksimum Total Total"
"Minimum Order Total","Minimum Total Pesanan"
"New Order Status","Status Pesanan Baru"
"Payment Action","Tindakan Pembayaran"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara Tertentu"
"Sort Order","Pengurutan"
"Test Mode","Mode Uji"
"Title","Judul"
"Transaction Key","Kunci transaksi"
"What is this?","Apa ini?"
