"-- Please select --","-- Silahkan pilih --"
"API Key","Kunci API"
"Allowed Currencies","Mata uang yang dibolehkan"
"An invalid base currency has been entered.","Mata uang dasar yang tidak sah telah dimasukkan."
"Base Currency","Mata uang dasar"
"Connection Timeout in Seconds","Waktu Sambungan dalam Detik"
"Country","Negara"
"Country and Format Type combination should be unique","Kombinasi negara dan Tipe format harus unik"
"Currency","Mata uang"
"Currency Options","Opsi Mata Uang"
"Currency Setup","Penyiapan Mata Uang"
"Currency Update Warnings","Peringatan Pembaruan Mata Uang"
"Currency rates can't be retrieved.","Nilai tukar mata uang tidak dapat diambil."
"Default Display Currency","Mata Uang tampilan Default"
"Enabled","Diaktifkan"
"Error Email Recipient","Kesalahan Pada Penerimaan Email"
"Error Email Sender","Kesalahan Pada Pengiriman Email"
"Error Email Template","Kesalahan Email Template"
"FATAL ERROR:","KESALAHAN FATAL:"
"Frequency","Frekuensi"
"Installed Currencies","Mata Uang Terpasang"
"No API Key was specified or an invalid API Key was specified.","Kunci API tidak ditentukan atau kunci API yang diberikan tidak valid."
"Scheduled Import Settings","Pengaturan Impor yang Dijadwalkan"
"Service","Layanan"
"Start Time","Waktu mulai"
"State/Province","Negara Bagian/Provinsi"
"The account this API request is coming from is inactive.","Permintaan API ini datang dari account tidak aktif."
"WARNING:","PERINGATAN:"
