"* Required Fields","* Bidang yang harus diisi"
"Authorize","Mengizinkan"
"Callback URL","URL panggilan balik"
"Cleanup Probability","Probabilitas Pembersihan"
"Cleanup Settings","Setelan Pembersihan"
"Close","Tutup"
"Created At","Dibuat di"
"Customer","Pelanggan"
"Delete","Hapus"
"Disable","Nonaktifkan"
"Disabled","Dinonaktifkan"
"Edit","Ubah"
"Email","E-mail"
"Email Address","Alamat email"
"Enable","Memungkinkan"
"Enabled","Diaktifkan"
"Expiration Period","Periode Kadaluarsa"
"ID","Id"
"Invalid Rejected Callback URL","URL Panggil Balik Tidak Sah ditolak"
"Key","Kunci"
"Login","Masuk"
"Name","Nama"
"Password","Kata sandi"
"Permissions","Izin"
"Role Name","Nama Wewenang"
"Save","Menyimpan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Status","Subjek"
"System","Sistem"
"User ID","Identitas pengguna"
"User Name","Nama Pengguna"
