"Authorize Only","Hanya yang Berwenang"
"Authorize and Capture","Otorisasi dan Tangkap"
"Cancel","Batal"
"Credit Card Types","Jenis Kartu Kredit"
"Debug","Debugging"
"Enabled","Diaktifkan"
"Maximum Order Total","Maksimum Total Total"
"Minimum Order Total","Minimum Total Pesanan"
"New Order Status","Status Pesanan Baru"
"Payment Action","Tindakan Pembayaran"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara Tertentu"
"Sort Order","Pengurutan"
"Test Mode","Mode Uji"
"Title","Judul"
"Transaction Key","Kunci transaksi"
"failed","gagal"
"successful","sukses"
