"Add New Rating","Tambahkan Peringkat Baru"
"Assigned Options","Diberikan pilihan"
"Be the first to review this product","Jadilah yang pertama mengulas produk ini"
"Default Value","Nilai Standar"
"Delete Rating","Hapus Rating"
"ID","Id"
"New Rating","Rating Baru"
"Option Title","Judul Opsi"
"Option Title:","Judul Opsi:"
"Rating Information","Informasi"
"Rating Title","Judul Rating"
"Rating Visibility","Rating Visibilitas"
"Rating isn't Available","Penilaian tidak tersedia"
"Save Rating","Simpan Rating"
"Sort Order","Pengurutan"
