"* - Enter custom price excluding tax","* - Masukkan harga khusus diluar pajak"
"* - Enter custom price including tax","* - Masukkan harga kustom termasuk pajak"
"* Required Fields","* Bidang yang harus diisi"
"-- Please Select --","-- Silahkan pilih --"
"-- Please Select Billing Agreement--","- Silakan Pilih Perjanjian Penagihan -"
"About Your Invoice","Tentang Faktur"
"About Your Order","Tentang Pesanan Anda"
"About Your Refund","Tentang Refund Anda"
"About Your Shipment","Tentang Pengiriman Anda"
"Accept Payment","Terima Pembayaran"
"Accept or Deny Payment","Terima atau Tolak Pembayaran"
"Account Information","Informasi Akun"
"Action","Tindakan"
"Actions","Tindakan"
"Activate","Mengaktifkan"
"Active","Aktif"
"Add","Menambahkan"
"Add New Address","Tambahkan alamat baru"
"Add Package","Tambahkan Paket"
"Add Products","Tambahkan Produk"
"Add Selected Product(s) to Order","Tambahkan Produk(S) yang Dipilih ke Pesanan"
"Add Selected Product(s) to Package","Tambahkan Produk yang Dipilih(s) ke Paket"
"Add To Order","Menambahkan Sampai Memasang"
"Add Tracking Number","Tambahkan Nomor Pelacakan"
"Add to Cart","Masukkan ke keranjang"
"Address","Alamat"
"Adjustment Fee","Biaya Penyesuaian"
"Adjustment Refund","Penyesuaian Pengembalian Dana"
"Agreement Information","Informasi Perjanjian"
"Allow Reorder","Izinkan Susun Ulang"
"Amount","Jumlah"
"An error occurred while creating shipping label.","Terjadi kesalahan saat membuat label pengiriman."
"Anchor Custom Title","Judul Jabatan Jangkar"
"Append Comments","Tambahkan komentar"
"Apply","Menerapkan"
"Apply Coupon Code","Terapkan Kode Kupon"
"Approved the payment online.","Menyetujui pembayaran secara online."
"Are you sure you want to accept this payment?","Yakin ingin menerima pembayaran ini?"
"Are you sure you want to cancel this order?","Yakin ingin membatalkan pesanan ini?"
"Are you sure you want to delete all items from shopping cart?","Yakin ingin menghapus semua item dari keranjang belanja?"
"Are you sure you want to deny this payment?","Yakin ingin menerima pembayaran ini?"
"Are you sure you want to do this?","Apakah Anda yakin ingin melakukan ini?"
"Are you sure you want to void the payment?","Yakin ingin membatalkan pembayaran?"
"Are you sure?","Apakah kamu yakin?"
"Authorization","Otorisasi"
"Back","Kembali"
"Back to Billing Agreements","Kembali ke Perjanjian Penagihan"
"Back to My Orders","Kembali ke pesanan saya"
"Backordered","Garis belakang"
"Bestsellers","Penjualan terbaik"
"Billing","Penagihan"
"Billing Address","Alamat Tagihan"
"Billing Agreement","Perjanjian Penagihan"
"Billing Agreement View","Tampilan Perjanjian Penagihan"
"Billing Agreements","Perjanjian Penagihan"
"Billing Last Name","Nama terakhir Penagihan"
"Billing ZIP Code","Kode Pos Penagihan"
"CSV","Csv"
"Cancel","Batal"
"Canceled","Dibatalkan"
"Capture","Menangkap"
"Capture Offline","Tangkap Offline"
"Capture Online","Tangkap Online"
"Carrier","Kurir"
"Carrier/Method","Kurir/Metode"
"Changing address information will not recalculate shipping, tax or other order amount.","Mengubah informasi alamat tidak akan menghitung ulang jumlah pengiriman, pajak atau jumlah pesanan lainnya."
"Checkout Totals Sort Order","Periksa Total urutan pengiriman"
"City","Kota"
"Clear Shopping Cart","Hapus keranjang belanja"
"Click to change shipping method","Klik untuk mengubah metode pengiriman"
"Close","Tutup"
"Closed","Tutup"
"Comma-separated.","Dipisahkan koma."
"Comment","Komentar"
"Comment Text","Teks komentar"
"Comments","Komentar"
"Company","Perusahaan"
"Complete","Lengkap"
"Configure","Konfigurasikan"
"Configure and Add to Order","Konfigurasikan dan Tambahkan ke Pesan"
"Contents","Isi"
"Continue","Lanjut"
"Country","Negara"
"Coupons","Kupon"
"Create","Membuat"
"Create New Customer","Buat Pelanggan Baru"
"Create New Order Status","Buat Status Orde Baru"
"Create New Order for New Customer","Buat Orde Baru untuk Pelanggan Baru"
"Create Order","Buat Pesanan"
"Create Packages","Buat Paket"
"Create Shipment","Buat Pengiriman"
"Create Shipping Label","Buat Label Pengiriman"
"Create...","Membuat..."
"Created At","Dibuat di"
"Created:","Dibuat:"
"Credit Memo","Memo kredit"
"Credit Memo Comment Email Sender","Memo Kredit Email Email Pengirim"
"Credit Memo Comments","Memo kredit Komentar"
"Credit Memo Email Sender","Memo Email Memo Kredit"
"Credit Memos","Memo kredit"
"Custom Price","Kustom Harga"
"Custom Value","Nilai Khusus"
"Customer","Pelanggan"
"Customer Email","E-mail pelanggan"
"Customer Group","Grup Pelanggan"
"Customer Last Name","Nama belakang pelanggan"
"Customer Name","Nama Pelanggan"
"Customs Value","Nilai Pabean"
"Date","Tanggal"
"Default Status","Status Default"
"Default Template","Template Default"
"Delete","Hapus"
"Delete Package","Hapus Paket"
"Deny Payment","Menyangkal pembayaran"
"Description Message","Deskripsi Pesan"
"Discount","Diskon"
"Discount Amount","Jumlah diskon"
"Display Order ID in Header","Menampilkan ID Pesanan di Header"
"Edit","Ubah"
"Email","E-mail"
"Email Address","Alamat email"
"Email Copy of Credit Memo","Email Copy Memo Kredit"
"Email Copy of Invoice","Faktur Salinan Email"
"Email Copy of Shipment","Salinan email pengiriman"
"Email Order Confirmation","Konfirmasi Pemesanan Email"
"Enable","Memungkinkan"
"Enabled","Diaktifkan"
"Error to Show in Shopping Cart","Kesalahan untuk menampilkan Keranjang Belanja"
"Excl. Tax","Belum termasuk pajak"
"Expired","Kadaluarsa"
"Explanation","Penjelasan"
"Fetch","Mengambil"
"First Name","Nama depan"
"From","Dari"
"From Name","Dari Nama"
"From:","Dari:"
"General","Umum"
"General Information","Informasi Umum"
"Get Payment Update","Dapatkan Pembayaran Perbarui"
"Get shipping methods and rates","Dapatkan pengiriman metode dan tingkat"
"Gift Message","Pesan hadiah"
"Gift Message for This Order","Pesan Hadiah untuk Pesanan Ini"
"Gift Message for the Entire Order","Hadiah Pesan untuk Seluruh pesanan"
"Gift Message for this Order","Pesan Hadiah untuk pemesanan ini"
"Gift Options","Pilihan hadiah"
"Gift Wrapping for the Entire Order","Gift Wrapping untuk Seluruh Order"
"Girth","Ketebalan"
"Go to Home Page","Buka Halaman Depan"
"Grand Total","Total keseluruhan"
"Grand Total to be Charged","Grand Total Dibebankan"
"Guest","Tamu"
"Height","Tinggi"
"Hide Customer IP","Sembunyikan IP Pelanggan"
"Hold","Tahan"
"Home","Rumah"
"ID","Id"
"Incl. Tax","Incl. Pajak"
"Information","Informasi"
"Invalid item option format.","Format opsi item tidak valid."
"Invalid value(s) for Qty to Ship","Nilai tidak sah untuk Jml yang dikirimkan"
"Invoice","Faktur"
"Invoice #","Faktur #"
"Invoice # ","Faktur # "
"Invoice Comment Email Sender","Email Faktur Email Pengirim"
"Invoice Comment Email Template","Template Email Komentar Faktur"
"Invoice Comment Email Template for Guest","Template Email Komentar Faktur untuk Tamu"
"Invoice Comments","Komentar faktur"
"Invoice Date","Tanggal faktur"
"Invoice Email Sender","Email Faktur Pengirim"
"Invoice Email Template","Email Faktur Template"
"Invoice Email Template for Guest","Email Faktur Template untuk Tamu"
"Invoice and Packing Slip Design","Faktur dan desain slip kemasan"
"Invoice and Ship","Tagih Faktur dan Kirim Barang"
"Invoiced","Faktur Ditagihkan"
"Invoices","Faktur"
"Is Closed","Ditutup"
"Item","Barang"
"Item Status","Status Item"
"Item ordered qty","Item yang dipesan qty"
"Items","Item"
"Items Invoiced","Item yang Ditagihkan"
"Items Ordered","Item yang dipesan"
"Items Refunded","Item Dikembalikan"
"Items Shipped","Barang dikirim"
"Items in the Package","Item dalam Paket"
"Items to Refund","Item untuk Pengembalian"
"Items to Ship","Barang untuk Dikirimkan"
"Key","Kunci"
"Last Name","Nama Belakang"
"Last Ordered Items","Item yang dipesan terakhir"
"Length","Panjangnya"
"Link to the New Order","Tautan ke Pesanan Baru"
"Link to the Previous Order","Tautan ke Pesanan Sebelumnya"
"Logo for HTML Print View","Logo untuk HTML Print View"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo untuk dokumen HTML saja. Jika kosong, defaultnya akan digunakan. <br/>(jpeg, gif, png)"
"Logo for PDF Print-outs (200x50)","Logo untuk PDF Print-outs (200x50)"
"Make Check payable to:","Lakukan pembayaran cek ke:"
"Manage","Kelola"
"Message","Pesan"
"Message:","Pesan:"
"Minimum Amount","Jumlah Minimum"
"Minimum Order Amount","Jumlah pesanan minimum"
"Mixed","Campuran"
"Most Viewed","Terpopuler"
"Most Viewed Products Report","Laporan Produk Terlaris"
"Move to Shopping Cart","Pindah ke Keranjang Belanja"
"Move to Wishlist","Pindah ke Wishlist"
"Multi-address Description Message","Deskripsi Pesan Multi-Alamat"
"Multi-address Error to Show in Shopping Cart","Kesalahan Multi-alamat saat menampikan Keranjang Belanja"
"My Orders","Pesananku"
"N/A","N / A"
"Name","Nama"
"New","Baru"
"New Billing Agreement","Perjanjian Penagihan Baru"
"New Invoice","Faktur baru"
"New Order","Pesanan baru"
"New Order Confirmation Email Sender","Konfirmasi Baru Email Pengirim"
"New Order Confirmation Template","Konfirmasi Pesanan Template Baru"
"New Order Confirmation Template for Guest","Orde Baru Konfirmasi Template untuk Tamu"
"New Order RSS","Orde Baru RSS"
"New Order Status","Status Pesanan Baru"
"New Shipment","Pengiriman baru"
"Newsletter Subscription","Berlangganan Newsletter"
"No","Tidak"
"No Items","Tidak ada barang"
"No Items To Refund","Tidak ada Item Untuk Pengembalian"
"No Payment Methods","Tidak ada metode pembayaran"
"No items","Tidak ada barang"
"No order(s) were put on hold.","Tidak ada pesanan (s) yang ditahan."
"No ordered items","Tidak ada item yang dipesan"
"No shipping information available","Tidak ada informasi pengiriman yang tersedia"
"Not Capture","Tidak Menangkap"
"Not Notified","Tidak diberitahu"
"Notification Not Applicable","Pemberitahuan Tidak Berlaku"
"Notified","Diberitahukan"
"Notify Customer by Email","Beritahu Pelanggan melalui Email"
"Number","Jumlah"
"Number of Orders","Jumlah pesanan"
"OK","Baik"
"On Hold","Ditahan"
"Order","Memesan"
"Order #","Pesanan #"
"Order Address Information","Informasi Alamat Pesanan"
"Order Comment","Pesan komentar"
"Order Comment Email Sender","Komentar Pesanan Email pengirim"
"Order Comment Email Template","Komentar Pesanan Email Template"
"Order Comment Email Template for Guest","Pesan Template Email Komentar untuk Tamu"
"Order Comments","Komentar pesanan"
"Order Currency:","Memesan Mata Uang:"
"Order Date","Tanggal pemesanan"
"Order Date: ","Tanggal pemesanan: "
"Order Grand Total","Total Keseluruhan Pesanan"
"Order History","Sejarah pesanan"
"Order ID","ID Pemesanan"
"Order Invoices","Faktur Pesanan"
"Order Shipments","Pengiriman pesanan"
"Order Status","Status pesanan"
"Order Status Information","Informasi Status Pesanan"
"Order Taxes Report Grouped by Tax Rates","Memesan Laporan Pajak yang Dikelompokkan menurut Tarif Pajak"
"Order Total","Jumlah Total Pesanan"
"Order Totals","Total Pesanan"
"Order View","Agar View"
"Ordered","Dipesan"
"Orders","Pesanan"
"Orders and Returns","Pesanan dan Pengembalian"
