"Action","Tindakan"
"Always","Selalu"
"Daily","Harian"
"Enabled","Diaktifkan"
"Error Email Recipient","Kesalahan Pada Penerimaan Email"
"Error Email Sender","Kesalahan Pada Pengiriman Email"
"Error Email Template","Kesalahan Email Template"
"Frequency","Frekuensi"
"Generate","Pembuatan"
"Hourly","Per jam"
"ID","Id"
"Link for Google","Tautan untuk Google"
"Monthly","Bulanan"
"Never","Tidak pernah"
"Path","Jalan"
"Priority","Prioritas"
"Start Time","Waktu mulai"
"Store View","Tampilan toko"
"Weekly","Mingguan"
