"ALL GROUPS","ALLIR HÓPAR"
"Action","Aðgerð"
"All","Allt"
"Are you sure?","Ertu viss?"
"Back","Til baka"
"Cancel","Hætta við"
"Change Billing Address","Edit"
"Configure","Stilla"
"Country","Land"
"Customer Groups","Viðskiptavinahópar"
"Customers","Viðskiptavinir"
"Details","Ítarupplýsingar"
"Email","Rafpóstur"
"Email:","Rafpóstur:"
"First Name","Fornafn"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Frá ""Síðunni minni"" getur þú séð fyrri viðskipti þín og breytt upplýsingum um þig. Smelltu á hlekki hér fyrir neðan til að skoða eða beyta upplýsingum um þig."
"ID","Auðkenni"
"Invalid login or password.","Ógilt notandanafn eða lykilorð."
"Last Name","Eftirnafn"
"Login","Innskráning"
"Login Options","Innskráningsmöguleikar"
"Manage Addresses","Stjórna staðföngum"
"Name","Nafn"
"New Password","Nýtt aðgangsorð"
"No item specified.","Ekkert atriði tilgreint."
"Order #","Pöntun #"
"Orders","Pantanir"
"Password","Aðgangsorð"
"Password:","Aðgangsorð:"
"Price","Verð"
"Product","Vara"
"Qty","Magn"
"Remove","Fjarlægja"
"Shopping Cart","Karfa"
"Status","Staða"
"Submit","Senda"
"Use as my default billing address","Nota sem sjálfvalið heimilisfang greiðanda"
"Use as my default shipping address","Nota sem sjálfvalið heimilisfang móttakanda"
