"Access Key","Chiave di accesso"
"Authorize Only","Autorizza solamente"
"Authorize and Capture","Autorizza e trattieni"
"Continue Shopping","Continua gli Acquisti"
"Email Sender","Mittente email"
"Enable","Attiva"
"Merchant ID","ID Venditore"
"Merchant Login","Login Commerciante"
"New Order Status","Nuovo stato dell'ordine"
"Payment Action","Azione di pagamento"
"Secret Key","Chiave segreta"
"Thank you for your purchase!","Grazie per il tuo acquisto!"
"Title","Titolo"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Riceverai una conferma dell'ordine via email con i dettagli del tuo ordine e il link per seguirne i progressi."
