"* Required Fields","* Campi obbligatori"
"Admin","Amministratore"
"Authorize","Autorizza"
"Callback URL","URL di callback"
"Cleanup Probability","Probabilità pulizia"
"Cleanup Settings","Pulizia Impostazioni"
"Close","Chiudi"
"Created At","Creato il"
"Customer","Cliente"
"Delete","Elimina"
"Disable","Disattiva"
"Disabled","Disabilitato"
"Edit","Modifica"
"Email Address","Indirizzo email"
"Enable","Attiva"
"Enabled","Abilitato"
"Expiration Period","Periodo di scadenza"
"Invalid Callback URL","URL di Callback non valido"
"Invalid Rejected Callback URL","URL non valido Callback rifiutati"
"Key","Chiave"
"Log In","Accedi"
"Login","Accedi"
"Name","Nome"
"Permissions","Permessi"
"Reject","Rifiuta"
"Role Name","Nome ruolo"
"Save","Salva"
"Save and Continue Edit","Salva e continua modifica"
"Status","Stato"
"System","Sistema"
"User ID","ID Utente"
"User Name","Nome utente"
"deleted","eliminato"
