"ALL","TUTTI"
"ANY","QUALSIASI"
"Add","Aggiungi"
"Apply","Applica"
"Conditions Combination","Combinazione di condizioni"
"FALSE","FALSO"
"If %s of these conditions are %s:","Se %s una di queste condizioni è %s:"
"Invalid discount amount.","Importo sconto non valido"
"Open Chooser","Selezione aperta"
"Perform following actions","Eseguire la seguenti azioni"
"Please choose a condition to add...","Seleziona una condizione da aggiuntere..."
"Please choose an action to add...","Selezione un'azione da aggiungere"
"Remove","Elimina"
"TRUE","VERO"
"by","da"
"contains","contiene"
"does not contain","non contiene"
"does not contains","non contiene"
"equals or greater than","è uguale o maggiore di"
"equals or less than","è uguale o inferiore a"
"for","per"
"for greater than","per maggiori di"
"for or greater than","per o maggiori di"
"found","trovato"
"from","da"
"greater than","maggiore di"
"is","è"
"is not","non è"
"is not one of","non è uno di"
"is one of","è uno di"
"less than","minore di"
"not found","non trovato"
"not from","non da"
"to","a"
"was","era"
"was not","non era"
