"<strong>Attention</strong>: Captcha is case sensitive.","<strong>注意</strong>: CAPTCHAは大文字小文字を区別します。"
"After number of attempts to login","CAPTCHAを表示するログイン失敗回数"
"Always","常に"
"CAPTCHA Timeout (minutes)","CAPTCHA 有効期限 (分)"
"Case Sensitive","大文字小文字を区別する"
"Displaying Mode","表示モード"
"Enable CAPTCHA in Admin","管理画面でCAPTCHAを有効にする"
"Font","フォント"
"Forms","対象フォーム"
"If 0 is specified, CAPTCHA on the Login form will be always available.","もし0が指定された場合, ログインフォーム上のCAPTCHAは常に有効になります。"
"Incorrect CAPTCHA.","不正なCAPTCHA."
"Number of Symbols","文字数"
"Number of Unsuccessful Attempts to Login","ログイン失敗回数"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","多くても8文字を指定してください。 範囲指定が可能です（例：3-5）"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","半角英数字(a-z あるいは A-Z) あるいは数字 (0-9) のみこのフィールドでは使用してください。 スペースや他の文字種は使用できません。<br />同じような見た目の文字 (例. ""i"", ""l"", ""1"")は使用しないようにして下さい。"
"Reload captcha","CAPTCHAの再読込"
"Symbols Used in CAPTCHA","CAPTCHAで使用する文字"
