"(Excl. Tax)","(税別)"
"(Incl. Tax)","(税込)"
"* Required Fields","* 必須項目"
"Add New Address","アカウント追加"
"Add New Condition","新しい条件を追加"
"Add to Cart","カートに入れる"
"Add to Compare","比較リストに入れる"
"Add to Wishlist","欲しい物リストに追加"
"Address","住所"
"Address %s of %s","住所%s の %s"
"After Adding a Product Redirect to Shopping Cart","商品を追加後にショッピングカート画面にリダイレクトする"
"Allow Guest Checkout","ゲストチェックアウトを有効"
"Already registered?","登録はお済みですか？"
"An error occurred in the process of payment","決済処理中にエラーが発生しました"
"Apply","適用"
"Apply Coupon","クーポンを適用"
"Are you sure you would like to remove this item from the shopping cart?","このアイテムをショッピングカートから削除してもよろしいですか？"
"Back","戻る"
"Back to Billing Information","請求先情報に戻る"
"Back to Select Addresses","住所選択に戻る"
"Back to Shipping Information","配送方法の選択に戻る"
"Back to Shopping Cart","ショッピングカートに戻る"
"Based on your selection, you may be interested in the following items:","あなたへのおすすめ"
"Billing Address","請求先住所"
"Billing Information","請求先情報"
"Billing Information - %s","領収書情報 - %s"
"Cancel","キャンセル"
"Cancel Coupon","クーポンをキャンセルする"
"Cannot process the item.","商品を処理できません"
"Card Verification Number Visual Reference","カード確認番号の参考画像"
"Cart Subtotal:","カート内小計："
"Change","変更"
"Change Billing Address","ご連絡先住所変更"
"Checkbox Text","チェックボックスのラベル"
"Checkout","レジに進む"
"Checkout Conditions","購入条件"
"Checkout Options","購入オプション"
"Checkout Terms and Conditions","購入契約条件"
"Checkout as Guest","登録せずに購入"
"Checkout as a Guest or Register","登録せずに購入または新規登録を選択してください"
"Checkout with Multiple Addresses","複数の住所へ配送する"
"City","市区町村"
"Clear Shopping Cart","ショッピングカートをクリア"
"Close","閉じる"
"Company","会社名"
"Condition Name","条件"
"Configurable Product Image","コンフィグ商品の画像"
"Confirm Password","パスワード再確認"
"Content","コンテンツ"
"Content Height","高さ"
"Content Height (css)","高さ (css)"
"Continue","続ける"
"Continue Shopping","お買い物を続ける"
"Continue to Billing Information","ご請求先情報へ"
"Continue to Review Your Order","注文の確認へ"
"Continue to Shipping Information","発送情報へ"
"Country","国"
"Coupon code ""%s"" is not valid.","クーポンコード""%s""は無効です"
"Create Billing Address","請求先住所を作成"
"Create Shipping Address","発送先住所を作成"
"Customer Information","顧客情報"
"Data saving problem","データ保存問題"
"Default Billing","標準の請求先"
"Default Shipping","標準の配送方法"
"Delete Condition","条件の削除"
"Details","詳細"
"Disabled","無効"
"Discount Codes","ディスカウントコード"
"Display Cart Summary","カートの概要を表示"
"Display Shopping Cart Sidebar","ショッピングカートサイドバーを表示する"
"Display item quantities","商品の見積もりを表示"
"Display number of items in cart","カート内の商品数を表示"
"Easy access to your order history and status","簡単にご注文の履歴，状態が確認できます．"
"Edit","編集"
"Edit Address","住所を編集"
"Edit Billing Address","請求先住所を編集"
"Edit Condition","条件を編集"
"Edit Items","アイテムを編集"
"Edit Shipping Address","配送先を編集"
"Edit Terms and Conditions","契約条件の編集"
"Edit Your Cart","カートの中身を編集"
"Edit item","商品の編集"
"Edit item parameters","商品パラメータを編集"
