"Add","追加"
"Add New Row","新しい行の追加"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","半角英数字、ハイフン、アンダーバーがファイル名に使用する文字として推奨されます。不正な文字は '_' に置き換えられます。"
"An error occurred while saving the file(s).","ファイル保存中にエラーが発生しました。"
"Availability:","在庫状況:"
"Back","戻る"
"Canceled","キャンセル済"
"Category API","カテゴリAPI"
"Date","日付"
"Default Link Title","標準リンクタイトル"
"Default Maximum Number of Downloads","ダウンロードの初期最大数"
"Default Sample Title","標準サンプルタイトル"
"Delete","削除"
"Disable Guest Checkout if Cart Contains Downloadable Items","ダウンロード商品がカートにある場合はゲスト購入を無効にする"
"Downloadable Information","ダウンロード情報"
"Downloadable Product","ダウンロード製品"
"Downloadable Product Options","ダウンロード商品オプション"
"Downloadable Product Section","ダウンロード商品セクション"
"Edit","編集"
"Edit item parameters","商品パラメータを編集"
"Excl. Tax","税抜"
"File","ファイル"
"From:","開始:"
"Gift Message","ギフトメッセージ"
"Go to <a href=""%s"">My Downloadable Products</a>","移動 <a href=""%s"">ダウンロード可能な製品</a>"
"Guest checkout will only work with shareable.","ゲスト購入は共有できる形でしか動作しません。"
"In stock","在庫あり"
"Incl. Tax","税込"
"Invalid download link type.","不正なダウンロードリンクです。"
"Invoiced","請求済"
"Links can be purchased separately","リンクは個別に購入可能"
"List","リスト"
"Max. Downloads","最大ダウンロード"
"Message:","メッセージ:"
"Move","移動"
"My Downloadable Products","ダウンロード可能な商品"
"Open Links in New Window","新しいウインドウでリンクを開く"
"Order #","注文 #"
"Order Item Status to Enable Downloads","ダウンロード可能になる注文ステータス"
"Order id cannot be null","注文IDにnullは使用できません"
"Order item id cannot be null","商品IDにnullは使用できません"
"Ordered","注文済"
"Out of stock","在庫切れ"
"Pending","処理待ち"
"Please log in to download your product.","ログインした上で製品をダウンロードしてください。"
"Please set resource file and link type.","ファイルとリンク形式をセットしてください。"
"Please specify product link(s).","商品リンクを指定してください。"
"Price","価格"
"Qty","個数"
"Refunded","返金"
"Remaining Downloads","残りのダウンロード"
"Remove","削除"
"Remove Item","商品を削除"
"SKU","商品番号"
"Sample","サンプル"
"See price before order confirmation.","注文確定前に価格を表示する。"
"Shareable","共有可能"
"Shipped","荷送り人"
"Sorry, there was an error getting requested content. Please contact the store owner.","申し訳ございません。コンテンツのダウンロード中にエラーが発生しました。担当者にお問い合わせください。"
"Sort Order","表示順"
"Start Download","ダウンロード開始"
"Status","ステータス"
"Subtotal","小計"
"The link has expired.","リンクは有効期限切れです。"
"The link is not available.","リンクは利用できません。"
"Title","タイトル"
"To:","終了:"
"U","Ｕ"
"Unlimited","無制限"
"Update","更新"
"Use Content-Disposition","Content-Dispositionを使用する"
"Use Default Value","標準の値を使用"
"View Order","注文の詳細を表示"
"What's this?","これは何ですか？"
"You have not purchased any downloadable products yet.","まだダウンロード商品をご購入いただいていません。"
"attachment","添付ファイル"
"download","ダウンロード"
"inline","インライン"
"sample","サンプル"
