"""Remember Me"" Default Value","""ログイン状態を維持する"" の初期値"
"* Required Fields","* 必須項目"
"Address","住所"
"Address Information","住所情報"
"Already registered?","登録はお済みですか？"
"Back","戻る"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","アカウントを作成いただくと、お買い物がよりスピーディーに行え、複数のお届け先を登録できます。また、ご注文の追跡などができます。"
"Checkout as Guest","登録せずに購入"
"Checkout as a Guest or Register","登録せずに購入または新規登録を選択してください"
"City","市区町村"
"Close","閉じる"
"Company","会社名"
"Confirm Password","パスワード再確認"
"Continue","続ける"
"Country","国"
"Create an Account","アカウント作成"
"Easy access to your order history and status","簡単にご注文の履歴，状態が確認できます．"
"Email Address","メールアドレス"
"Enable ""Remember Me""","""ログイン状態を維持する""を有効にする"
"Enable Persistence","セッションの永続化を有効にする"
"Fast and easy check out","早く，簡単に支払い手続きができます．"
"Fax","FAX"
"Forgot Your Password?","パスワードをお忘れですか？"
"Forgot your password?","パスワードをお忘れですか？"
"General Options","全般オプション"
"If you have an account with us, please log in.","アカウントをお持ちの場合は、ログインをお願いします。"
"Loading next step...","次のステップを読み込んでいます..."
"Login","ログイン"
"Login Information","ログイン情報"
"Login or Create an Account","ログインまたはアカウント新規作成"
"New Customers","まだご登録いただいていないお客様"
"Password","パスワード"
"Persist Shopping Cart","ショッピングカートを永続化する"
"Persistence Lifetime (seconds)","保持時間 (秒)"
"Persistent Shopping Cart","ショッピングカートの永続化"
"Personal Information","個人情報"
"Please log in below:","こちらからログインしてください:"
"Please select region, state or province","都道府県を選択してください"
"Register","新規登録"
"Register and save time!","登録すると手続きが簡単に!"
"Register to Create an Account","アカウントを作成するために登録"
"Register with us for future convenience:","登録のメリット"
"Registered Customers","既にご登録いただいているお客様"
"Remember Me","ログイン状態を維持する"
"Save in address book","アドレス帳に保存"
"Select State/Province...","州 / 県を選択してください。。"
"Select a billing address from your address book or enter a new address.","アドレスブックから請求先の住所を選択するか、新しい住所を入力してください。"
"Ship to different address","別の住所へ送る"
"Ship to this address","この住所へ送る"
"Sign Up for Newsletter","ニュースレターを購読"
"State/Province","都道府県"
"Street Address","住所"
"Submit","送信"
"Telephone","電話番号"
"VAT Number","VAT番号"
"Welcome, %s!","ようこそ、%s様!"
"What's this?","これは何ですか？"
"Zip/Postal Code","郵便番号"
