"Address","მისამართი"
"Billing Information","გადამხდელის ინფორმაცია"
"City","ქალაქი"
"Company","კომპანია"
"Email Address","ელექტრონული ფოსტა"
"Fax","მობილური"
"Payment Method","გადახდის მეთოდი"
"Place Order","შეკვეთის განთავსება"
"Please select a shipping method...","გთხოვთ აირჩიოთ მიწოდების მეთოდი..."
"Please select region, state or province","გთხოვთ აირჩიოთ რეგიონი, შტატი ან პროვინცია"
"Position","მდებარეობა"
"Product Name","პროდუქტის დასახელება"
"Review Order","შეკვეთის გადახედვა"
"Shipping Address","მიმღების მისამართი"
"Shipping Information","მიმღების ინფორმაცია"
"Shipping Method","მიწოდების მეთოდი"
"State/Province","რეგიონი/შტატი"
"Submitting order information...","მიმდინარეობს შეკვეთის განთავსება..."
"Telephone","ტელეფონი"
"There was an error processing your order. Please contact us or try again later.","თქვენი შეკვეთის დამუშავებისას დაფიქსირდა შეცდომა. გთხოვთ დაგვიკავშირდით ან ახლიდან სცადეთ მოგვიანებით."
