"Catalog","카탈로그"
"Click for price","클릭하여 가격확인"
"Coupons/Discounts","쿠폰 / 할인"
"Customer Order Status Notification","고객 주문 상태 알림"
"Discount","할인"
"Enable RSS","RSS 활성화"
"From:","보낸 사람:"
"Gift Message","선물 메시지"
"Grand Total","합계"
"Low Stock Products","재고부족 상품"
"Message:","메시지:"
"New Orders","새주문"
"New Products","신규 상품"
"Order","주문"
"Pending product review(s)","보류 중인 제품 리뷰"
"Shipping &amp; Handling","배송료"
"Special Products","특별 상품"
"Subtotal","소계"
"Tax","세금"
"Top Level Category","최상위 카테고리"
"Wishlist","위시리스트"
"click <a href=""%s"">here</a> to view the review","리뷰를 보려면 <a href=""%s"">여기</a>를 클릭하세요"
