"Configuration","환경설정"
"Container","컨테이너"
"Debug","디버그"
"Divide Order Weight","주문 중량 나누기"
"Gateway URL","게이트웨이 URL"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","최대 포장 중량 (지원되는 최대 운송 중량은 운송 업체에 문의하십시오)"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","최소 포장 중량 (지원되는 최소 운송 중량은 운송 업체에 문의하십시오)"
"No","아니오"
"None","없음"
"Order","주문"
"Password","비밀번호"
"Required","필수"
"Return","돌아가기"
"Sample","샘플"
"Sort Order","정렬 순서"
"Subtotal","소계"
"Title","타이틀"
"Weight Unit","중량 단위"
"Yes","네"
"Your Packaging","귀하의 패키징"
