"Actions","Veiksmai"
"Active","Aktyvus"
"Add New Rule","Pridėti naują taisyklę"
"Apply","Pritaikyti"
"Apply Rules","Patvirtinti taisykles"
"Attribute Set","Savybių Komplektas"
"By Fixed Amount","Fiksuota suma"
"Catalog","Katalogas"
"Catalog Price Rule","Katalogo kainų taisyklė"
"Catalog Price Rules","Katalogo kainų taisyklės"
"Category","Kategorija"
"Conditions","Sąlygos"
"Conditions (leave blank for all products)","Būklė (paliekame tuščia visoms prekėms)"
"Conditions Combination","Sąlygų kombinacija"
"Customer Groups","Klientų grupės"
"Date Expire","Pabaigos data"
"Date From","Data Nuo"
"Date Start","Pradžios data"
"Date To","Data Iki"
"Description","Aprašymas"
"Discount Amount","Nuolaida"
"Edit Rule","Redaguoti taisyklę"
"Edit Rule '%s'","Redaguoti taisyklę '%s'"
"Expiration Date","Galiojimo data"
"From Date","Nuo datos"
"General Information","Pagrindinė informacija"
"Inactive","Neaktyvus"
"New Rule","Nauja taisyklė"
"No","Ne"
"Options","Pasirinkimai"
"Priority","Prioritetas"
"Product Attribute","Prekės Savybės"
"Promotions","Taisyklės"
"Rule Information","Taisyklės informacija"
"Rule Name","Taisyklės pavadinimas"
"Save and Apply","Išsaugoti ir patvirtinti"
"Save and Continue Edit","Išsaugoti ir tęsti redagavimą"
"Start Date","Pradžios data"
"Status","Būsena"
"This rule no longer exists.","Ši taisyklė nebeegzistuoja."
"To Date","Iki datos"
"To Fixed Amount","Fiksuota suma"
"Type","Tipas"
"Update product's %s %s: %s","Atnaujinti produktus %s %s: %s"
"Website","Tinklapis"
"Websites","Tinklapiai"
"Yes","Taip"
