"Add","Pridėti"
"Availability:","Prieinamumas:"
"Back","Grįžti"
"Canceled","Atšauktas"
"Date","Data"
"Delete","Ištrinti"
"Downloadable Product","Parsisiunčiama prekė"
"Edit","Redaguoti"
"Edit item parameters","Redaguoti prekės parametrus"
"Excl. Tax","Be PVM"
"From:","Nuo:"
"Gift Message","Dovanos žinutė"
"Go to <a href=""%s"">My Downloadable Products</a>","Į <a href=""%s"">Mano parsisiunčiamos prekės</a>"
"In stock","Sandėlyje"
"Incl. Tax","Su PVM"
"List","Sąrašas"
"Message:","Žinutė:"
"My Downloadable Products","Mano atsisiunčiami produktai"
"Order #","Užsakymo nr."
"Ordered","Užsakyta"
"Out of stock","Nėra sandėlyje"
"Pending","Laukiama"
"Price","Kaina"
"Qty","Kiekis"
"Refunded","Grąžinta"
"Remove","Pašalinti"
"Remove Item","Ištrinti"
"SKU","Prekės kodas"
"Sort Order","Rūšiavimo tvarka"
"Status","Būsena"
"Subtotal","Tarpinė suma"
"Title","Pavadinimas"
"To:","Kam:"
"Update","Atnaujinti"
"View Order","Peržiūrėti užsakymą"
"What's this?","Kas tai?"
"You have not purchased any downloadable products yet.","Jūs neturite atsiunčiamų produktų."
