"ALL","VISI"
"ANY","BET KAS"
"Add","Pridėti"
"Apply","Pritaikyti"
"Conditions Combination","Sąlygų kombinacija"
"FALSE","KLAIDINGAS"
"If %s of these conditions are %s:","Jei šių sąlygų %s yra %s:"
"Invalid discount amount.","Neteisingas nuolaidos dydis."
"Open Chooser","Atviras Pasirinkimas"
"Perform following actions","Įvykdykite kitus veiksmus"
"Please choose a condition to add...","Prašome pasirinkti pridedamą sąlygą..."
"Please choose an action to add...","Prašome pasirinkti pridedamą veiksmą..."
"Remove","Pašalinti"
"by","iš"
"is","yra"
"is not","nėra"
"to","iki"
