"Add Recipient","Naujas gavėjas"
"Allow for Guests","Leista Svečiams"
"Back","Grįžti"
"Email Address","El. paštas"
"Email Address:","El. paštas:"
"Email:","El. paštas:"
"Enabled","Įjungta"
"Limit Sending By","Siuntimo limitas"
"Max Products Sent in 1 Hour","Maksimalus siunčiamų produktų kiekis per 1 Valandą"
"Max Recipients","Maksimum Gavėjų"
"Maximum %d email addresses allowed.","Maksimaliai leista %d elektroninio pašto adresų."
"Message:","Žinutė:"
"Name","Vardas"
"Name:","Vardas:"
"Recipient:","Gavėjas:"
"Remove Email","Trinti el.paštą"
"Send product to a friend","Rekomenduoti"
"Sender:","Siuntėjas:"
