"--Please Select--","--Lūdzu izvēlieties--"
"Accepted Currency","Akceptētā valūta"
"Card Verification Number","Kredītkartes pārbaudes kods"
"Card Verification Number Visual Reference","Kredītkartes parbaudes koda vizuālā atsauce"
"Close","Aizvērt"
"Credit Card Information","Kredītkartes informācija"
"Credit Card Number","Kredītkartes numurs"
"Credit Card Type","Kredītkartes veids"
"Credit Card Types","Kredītkaršu veidi"
"Credit Card Verification","Kredītkartes pārbaude"
"Debug","Atkļūdot"
"Email Customer","E-pasta klientam"
"Enabled","Ieslēgts"
"Expiration Date","Derīguma termiņš"
"Gateway URL","Vārtejas URL"
"Maximum Order Total","Maksimālā pasūtījuma summa"
"Merchant MD5","Tirgotāja MD5"
"Merchant's Email","Tirgotāja e-pasts"
"Minimum Order Total","Minimālā pasūtījuma summa"
"New Order Status","Jauna pasūtījuma statuss"
"Payment Action","Maksājuma darbība"
"Payment from Applicable Countries","Maksājumi no pieejamām valstīm"
"Payment from Specific Countries","Maksājumi no noteiktām valstīm"
"Sort Order","Kārtošanas secība"
"Test Mode","Testa režīms"
"There was an error processing your order. Please contact us or try again later.","Notikusi kļūme apstrādājot Jūsu pasūtījumu. Lūdzu kontaktējaties ar mums vai mēģiniet vēlreiz vēlāk."
"Title","Nosaukums"
"Transaction Key","Transakcijas atslēga"
"What is this?","Kas tas ir?"
