"Add Minimum Qty","Noteikt minimālo daudzumu"
"Allow Qty Below 0","Atļaut daudzumu mazāku par 0"
"Allow Qty Below 0 and Notify Customer","Atļaut daudzumu mazāku par 0 un paziņot klientam"
"Backorders","Iepriekšpasūtījums"
"Enable Qty Increments","Ieslēgt skaita pieaugumu"
"In Stock","Noliktavā"
"Inventory","Inventārs"
"Manage Stock","Pārvaldīt noliktavu"
"Maximum Qty Allowed in Shopping Cart","Maksimālais atļautais daudzums grozā"
"Minimum Qty","Minimālais skaits"
"Minimum Qty Allowed in Shopping Cart","Minimālais atļautais daudzums grozā"
"No Backorders","Bez pasūtīšanas"
"Notify for Quantity Below","Paziņot ja mazāk par"
"Out of Stock","Nav pieejams"
"Product Name","Produkta nosaukums"
"Qty","Skaits"
"Qty Increments","Skaita pieaugums"
"Rule price","Noteikuma cena"
"Stock Options","Noliktavas opcijas"
"Stock Status","Krājumu Status"
"The requested quantity for ""%s"" is not available.","Dotā prece ""%s"" šādā daudzumā nav pieejama."
"To Fixed Value","Uz fiksētu cenu"
"To Percentage","Uz procentiem"
"Update","Atjaunināt"
"Update the Product","Atjaunot preci"
